District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No.,Agri Total
Anjaw,46,1,0,2,49
Changlang,255,262,0,0,517
Dibang Valley,3,0,0,0,3
East Kameng,15,1404,0,2,1421
East Siang,134,692,0,2,828
Kamle,17,0,0,0,17
Kra Daadi,26,0,0,3,29
Kurung Kumey,10,48,0,0,58
Lepa Rada,28,506,0,0,534
Lohit,617,786,0,0,1403
Longding,108,40,0,2,150
Lower Dibang Valley,194,141,0,0,335
Lower Siang,15,3,0,0,18
Lower Subansiri,281,1658,0,1,1940
Namsai,293,322,0,442,1057
Pakke Kessang,103,10,0,0,113
Papum Pare,3504,1241,8,211,4964
Shi Yomi,0,0,0,0,0
Siang,2,8,0,1,11
Tawang,7,15,0,1,23
Tirap,134,1191,0,0,1325
Upper Siang,2,11,0,1,14
Upper Subansiri,96,15,0,2,113
West Kameng,98,824,0,0,922
West Siang,296,20,0,1,317
