district,Micro,Small,Medium,Other MSME,MSME Total
Anjaw,27,4,0,0,31
Changlang,424,28,0,0,452
Dibang Valley,18,5,0,0,23
East Kameng,312,12,0,0,324
East Siang,1947,51,1,179,2178
Kamle,97,0,0,0,97
Kra Daadi,362,6,0,1,369
Kurung Kumey,134,10,0,0,144
Lepa Rada,70,8,0,23,101
Lohit,310,20,1,7,338
Longding,66,14,0,0,80
Lower Dibang Valley,392,9,0,2,403
Lower Siang,103,8,0,61,172
Lower Subansiri,567,45,1,119,732
Namsai,423,85,0,20,528
Pakke Kessang,68,3,0,0,71
Papum Pare,9963,732,45,915,11655
Shi Yomi,26,0,0,0,26
Siang,47,0,0,8,55
Tawang,460,36,0,2,498
Tirap,148,14,0,0,162
Upper Siang,52,11,0,20,83
Upper Subansiri,308,31,0,130,469
West Kameng,1134,80,2,26,1242
West Siang,554,25,1,59,639
