District,Crop Loan,Forestry and Wasteland Dev.,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,4,0,0,0,0,0,0,0,0,0,4
Changlang,98,0,0,0,82,0,0,0,0,1,181
Dibang Valley,19,0,0,0,39,0,0,0,0,0,58
East Kameng,8,0,0,0,4,0,0,1,0,0,13
East Siang,100,0,0,2,46,3,2,9,0,0,162
Kamle,13,0,0,0,0,0,0,0,0,0,13
Kra Daadi,58,0,0,0,10,0,0,2,0,0,70
Kurung Kumey,30,0,0,0,285,0,0,0,0,0,315
Lepa Rada,140,0,0,0,18,0,0,11,0,0,169
Lohit,202,0,0,1,1,0,0,0,0,2,206
Longding,111,0,0,0,0,0,0,0,0,0,111
Lower Dibang Valley,47,0,0,0,94,0,0,8,0,0,149
Lower Siang,48,0,0,0,42,0,0,0,0,0,90
Lower Subansiri,49,0,0,0,32,0,0,21,0,3,105
Namsai,127,0,0,2,0,0,0,53,0,0,182
Pakke Kessang,2,0,0,0,0,0,0,3,0,2,7
Papum Pare,194,0,0,36,56,37,3,91,0,4,421
Shi Yomi,0,0,0,0,9,0,0,0,0,0,9
Siang,4,0,0,0,18,0,0,2,0,0,24
Tawang,27,0,0,0,18,0,0,3,0,0,48
Tirap,135,0,0,0,24,0,0,0,0,1,160
Upper Siang,8,0,0,0,29,0,0,0,0,0,37
Upper Subansiri,81,0,0,0,49,0,0,6,0,0,136
West Kameng,140,0,0,3,5,0,0,4,0,0,152
West Siang,121,30,0,2,26,0,9,2,1,0,191
