district,NRLM OS,NRLM Irregular,NRLM NPA,NULM OS,NULM NPA,PMEGP OS,PMEGP NPA,SHG OS,SHG NPA,SUI OS,SUI NPA
Anjaw,0,0,0,0,0,3,1,3,0,0,0
Changlang,0,0,0,0,0,13,4,9,1,10,1
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,0,0,0,3,2,5,3,34,4,4,0
East Siang,11,1,0,5,0,24,17,29,0,9,0
Kamle,0,0,0,0,0,16,12,226,0,0,0
Kra Daadi,79,11,0,0,0,27,15,15,0,2,1
Kurung Kumey,2,0,0,0,0,43,34,16,1,6,2
Lepa Rada,5,0,1,0,0,16,4,13,1,11,0
Lohit,26,0,0,1,0,9,1,35,0,6,0
Longding,0,0,0,0,0,7,2,1,0,4,0
Lower Dibang Valley,10,0,0,1,0,4,2,31,0,1,0
Lower Siang,8,0,0,2,0,11,0,13,0,20,1
Lower Subansiri,38,3,0,3,0,65,34,104,4,12,1
Namsai,35,1,0,0,0,50,9,193,26,40,0
Pakke Kessang,15,8,0,0,0,2,1,2,0,1,0
Papum Pare,129,35,49,1,0,335,109,160,30,73,2
Shi Yomi,0,0,0,0,0,13,10,5,1,11,0
Siang,5,0,0,16,0,16,10,46,0,9,0
Tawang,13,2,0,0,0,22,2,13,0,40,0
Tirap,1,0,0,0,0,11,6,2,0,4,0
Upper Siang,0,0,0,0,0,10,4,3,0,2,0
Upper Subansiri,26,2,0,2,0,37,21,69,0,2,0
West Kameng,4,0,0,2,0,77,9,39,1,62,1
West Siang,15,1,0,0,0,32,13,19,0,9,0
