District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,8,8
Changlang,0,0,0,5,175,180
Dibang Valley,0,0,0,0,54,54
East Kameng,0,0,0,12,144,156
East Siang,0,0,0,40,217,257
Kamle,1,0,0,0,14,15
Kra Daadi,2,0,0,0,41,43
Kurung Kumey,0,0,0,1,96,97
Lepa Rada,1,0,0,0,92,93
Lohit,0,0,1,6,79,86
Longding,3,0,0,3,38,44
Lower Dibang Valley,0,0,0,8,89,97
Lower Siang,0,0,0,1,18,19
Lower Subansiri,0,0,0,31,434,465
Namsai,0,0,0,48,158,206
Pakke Kessang,0,0,0,0,6,6
Papum Pare,0,0,11,271,1313,1595
Shi Yomi,0,0,0,0,29,29
Siang,0,0,0,0,9,9
Tawang,0,0,0,5,66,71
Tirap,0,0,0,3,62,65
Upper Siang,0,0,0,0,31,31
Upper Subansiri,0,0,0,7,153,160
West Kameng,1,0,0,7,78,86
West Siang,1,0,0,21,77,99
