District,Inactive BC,Rupay Card active in PMJDY,First time active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Card issued in KCC
Anjaw,0,1518,1518,6160,10
Changlang,2,29769,29521,61932,46
Dibang Valley,1,211,210,4718,34
East Kameng,0,6947,5937,45956,21
East Siang,19,29741,28851,42201,223
Kamle,1,357,357,3899,4
Kra Daadi,2,1718,1718,4269,28
Kurung Kumey,0,1906,1615,22309,55
Lepa Rada,2,2082,1943,12624,47
Lohit,1,7565,7305,27279,209
Longding,1,7119,7119,11333,21
Lower Dibang Valley,29,6217,6120,29505,175
Lower Siang,16,13949,13949,5350,10
Lower Subansiri,2,7460,6757,30440,361
Namsai,6,12029,11076,37222,469
Pakke Kessang,0,308,308,2334,5
Papum Pare,166,34659,27288,137353,2816
Shi Yomi,1,1314,1279,6371,0
Siang,3,3482,3482,3028,3
Tawang,4,3766,1867,25866,61
Tirap,2,9038,8462,29649,29
Upper Siang,1,1504,1448,22427,61
Upper Subansiri,0,9607,8101,37204,102
West Kameng,7,8494,7127,41506,228
West Siang,4,7498,6217,28887,40
