District,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,0,0,0,0,0,0,2,2
Changlang,1,0,0,0,1,1,127,130
Dibang Valley,0,0,0,0,0,0,81,81
East Kameng,0,0,0,0,27,9,171,207
East Siang,3,0,0,0,11,133,531,678
Kamle,0,0,0,0,0,0,4,4
Kra Daadi,0,0,0,0,0,9,2,11
Kurung Kumey,0,0,0,0,0,0,288,288
Lepa Rada,5,0,0,0,15,14,201,235
Lohit,2,0,0,0,0,45,180,227
Longding,0,0,0,0,1,0,17,18
Lower Dibang Valley,0,0,0,0,0,48,449,497
Lower Siang,0,0,0,0,12,6,18,36
Lower Subansiri,1,0,0,0,6,34,349,390
Namsai,0,0,0,0,0,26,326,352
Pakke Kessang,0,0,0,0,0,0,3,3
Papum Pare,4,63,0,2,142,480,3532,4223
Shi Yomi,0,0,0,0,0,0,54,54
Siang,0,0,0,0,0,5,5,10
Tawang,0,0,0,0,1,53,286,340
Tirap,2,0,0,0,2,0,53,57
Upper Siang,0,0,0,0,0,3,153,156
Upper Subansiri,7,0,0,0,22,32,251,312
West Kameng,0,0,0,0,6,38,307,351
West Siang,1,1,0,0,38,20,141,201
