District,Block,ATM Allocation
Dhalai,Salema,Punjab National Bank
Gomati,Tepania,State Bank of India
Khowai,Tulashikhar,Tripura Gramin Bank
North Tripura,Panisagar,Punjab National Bank
Sepahijala,Nalchar,State Bank of India
South Tripura,Satchand,State Bank of India
Unakoti,Pecharthal,Punjab National Bank
West Tripura,Old Agartala,Punjab National Bank
