District,CD RATIO June 2021,CD RATIO March 2022,CD RATIO June 2022,CD RATIO Since June 2021
Dhalai,87,99,103,+16
Gomati,64,63,66,+2
Khowai,60,58,64,+4
North Tripura,58,62,61,+3
Sepahijala,65,65,72,+7
South Tripura,59,63,61,+2
Unakoti,63,67,68,+5
West Tripura,48,51,51,+3
