district,cd_ratio_as_on_september_2024
Alipurduar,7895.66
Bankura,21603.0
Birbhum,21655.63
Cooch Behar,13749.71
Dakshin Dinajpur,5954.4
Darjeeling,27071.95
Hooghly,58561.87
Howrah,55066.72
Jalpaiguri,13535.36
Jhargram,5069.88
Kalimpong,2150.77
Kolkata,417447.79
Malda,15348.37
Murshidabad,30257.02
Nadia,30650.0
Paschim Bardhaman,50838.93
Paschim Medinipur,37354.43
Purba Bardhaman,37255.58
Purba Medinipur,37542.83
Purulia,13359.42
Uttar Dinajpur,9210.24
