district,amount,average_disbursement_amount_in_lakh,disbursement_no,no,outstanding_no,sanction_no,target_2024_25_no
Alipurduar,693.4,2.06,17232.0,151.7,23879.0,6764.0,11359.0
Bankura,1172.2,1.9,29553.0,86.22,59779.0,14480.0,34275.0
Birbhum,1522.74,2.51,34559.0,70.82,67597.0,22823.0,48800.0
Cooch Behar,1864.23,2.01,43049.0,163.53,55996.0,14904.0,26325.0
Dakshin Dinajpur,542.52,1.49,16684.0,102.83,26914.0,5457.0,16225.0
Darjeeling,258.21,2.97,5830.0,96.54,7719.0,2774.0,6039.0
Hooghly,1290.17,2.06,35757.0,114.75,51641.0,16791.0,31160.0
Howrah,918.98,2.35,22508.0,75.31,38093.0,12842.0,29888.0
Jalpaiguri,1015.69,2.06,25744.0,125.23,37948.0,9367.0,20557.0
Jhargram,466.74,2.46,10187.0,75.46,19129.0,9226.0,13500.0
Kalimpong,134.08,3.38,2786.0,97.24,3481.0,1309.0,2865.0
Kolkata,41.64,1.36,720.0,100.0,3176.0,,0.0
Malda,1289.96,1.55,36500.0,114.07,61513.0,19472.0,31998.0
Murshidabad,1640.31,1.63,46006.0,129.62,84569.0,21752.0,35493.0
Nadia,1317.18,1.75,34561.0,107.05,62977.0,12038.0,32284.0
North 24 Parganas,1653.13,1.61,47656.0,100.06,77653.0,21127.0,47629.0
Paschim Bardhaman,233.69,2.41,5611.0,49.39,11863.0,4017.0,11361.0
Paschim Medinipur,1952.94,3.03,36294.0,73.61,66011.0,20859.0,49304.0
Purba Bardhaman,1605.84,2.7,36495.0,78.48,64608.0,17998.0,46500.0
Purba Medinipur,2926.09,4.05,41989.0,78.8,81079.0,23632.0,53285.0
Purulia,652.6,1.46,17384.0,74.93,41158.0,14298.0,23200.0
South 24 Parganas,1895.47,2.02,56047.0,116.91,86092.0,18310.0,47942.0
Uttar Dinajpur,929.98,1.72,26378.0,145.77,41915.0,10830.0,18096.0
