district,aadhaar_seeded,female_a_c,male_a_c,rupaycard_issued,rural_a_c,total_a_c,total_deposit,urban_a_c,zero_balance_account
Alipurduar,527902.0,345853.0,260760.0,507947.0,397919.0,606613.0,292.83,208694.0,36423.0
Bankura,1978752.0,1294450.0,1041318.0,1339962.0,2007598.0,2335768.0,1272.16,328170.0,130488.0
Birbhum,2038279.0,1369121.0,1026977.0,1419809.0,1927994.0,2396098.0,1064.94,468104.0,81407.0
Cooch Behar,1478623.0,952878.0,750313.0,1310894.0,1227960.0,1703191.0,515.46,475231.0,101090.0
Dakshin Dinajpur,1052530.0,707554.0,539141.0,730860.0,1012566.0,1246695.0,429.4,234129.0,78322.0
Darjeeling,571361.0,387171.0,271704.0,519343.0,309845.0,658875.0,404.83,349030.0,41141.0
Hooghly,2174190.0,1470390.0,1009322.0,1562339.0,1694220.0,2479712.0,1312.95,785492.0,96633.0
Howrah,1837154.0,1243239.0,876021.0,1415467.0,1391899.0,2119260.0,1063.62,727361.0,72409.0
Jalpaiguri,1401216.0,917382.0,680607.0,1161239.0,1066434.0,1597989.0,694.88,531555.0,104113.0
Jhargram,398039.0,269941.0,218052.0,264313.0,454719.0,487993.0,277.27,33274.0,23764.0
Kalimpong,26540.0,17800.0,14436.0,28018.0,19536.0,32236.0,23.05,12700.0,1380.0
Kolkata,811159.0,553097.0,440882.0,764928.0,7781.0,993979.0,423.61,986198.0,98923.0
Malda,3051472.0,1987868.0,1499177.0,1895656.0,2993248.0,3487045.0,1242.08,493797.0,299948.0
Murshidabad,4144324.0,2693809.0,2106150.0,3280156.0,3559820.0,4799959.0,1605.84,1240139.0,334312.0
Nadia,2699677.0,1844981.0,1383840.0,2096946.0,2178441.0,3228821.0,1353.16,1050380.0,218648.0
North 24 Parganas,4002741.0,2682533.0,1960628.0,3174511.0,2741997.0,4643161.0,2239.88,1901164.0,247758.0
Paschim Bardhaman,1282444.0,1002169.0,529268.0,778748.0,869037.0,1531437.0,584.38,662400.0,71083.0
Paschim Medinipur,2359610.0,1588753.0,1159000.0,1639869.0,2251704.0,2747753.0,1434.39,496049.0,123374.0
Purba Bardhaman,1968516.0,1363283.0,936262.0,1695394.0,1753167.0,2299545.0,977.96,546378.0,74577.0
Purba Medinipur,2298299.0,1492140.0,1174032.0,1630255.0,2439424.0,2666172.0,1434.8,226748.0,120857.0
Purulia,1828458.0,1155617.0,967829.0,1259808.0,1769595.0,2123446.0,1172.8,353851.0,148716.0
South 24 Parganas,4486630.0,2988153.0,2241811.0,3290455.0,4440077.0,5229964.0,2257.06,789887.0,363018.0
Uttar Dinajpur,2291789.0,1562285.0,1219879.0,1456420.0,2179045.0,2782164.0,731.36,603119.0,245352.0
