district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,691706.0,66067.0,187665.0,437974.0,606613.0
Bankura,1910928.0,203059.0,431190.0,1276679.0,2335768.0
Birbhum,2403123.0,250658.0,661988.0,1490477.0,2396098.0
Cooch Behar,1620625.0,202912.0,401027.0,1016686.0,1703191.0
Dakshin Dinajpur,1000331.0,105317.0,252816.0,642198.0,1246695.0
Darjeeling,1210931.0,111984.0,351183.0,747764.0,658875.0
Hooghly,2725866.0,326277.0,650294.0,1749295.0,2479712.0
Howrah,2145462.0,243885.0,512460.0,1389117.0,2119260.0
Jalpaiguri,1636677.0,193939.0,434955.0,1007783.0,1597989.0
Jhargram,501600.0,42351.0,121676.0,337573.0,487993.0
Kalimpong,74748.0,6600.0,21679.0,46469.0,32236.0
Kolkata,2578059.0,215201.0,529132.0,1833726.0,993979.0
Malda,2335034.0,302108.0,577035.0,1455891.0,3487045.0
Murshidabad,4173538.0,509572.0,1007736.0,2656230.0,4799959.0
Nadia,2686110.0,303781.0,613706.0,1768623.0,3228821.0
North 24 Parganas,4373125.0,469652.0,998272.0,2905201.0,4643161.0
Paschim Bardhaman,1732257.0,70962.0,423968.0,1237327.0,1531437.0
Paschim Medinipur,2357962.0,291762.0,537498.0,1528702.0,2747753.0
Purba Bardhaman,1985123.0,321262.0,576331.0,1087530.0,2299545.0
Purba Medinipur,2508138.0,381646.0,551725.0,1574767.0,2666172.0
Purulia,1382498.0,147947.0,334426.0,900125.0,2123446.0
South 24 Parganas,3804965.0,394461.0,834656.0,2575848.0,5229964.0
Uttar Dinajpur,1484695.0,174801.0,367603.0,942291.0,2782164.0
