district,amount_rs_cr,out_of_a_disbursed_by_bank_no,out_of_a_only_approved_by_bank_disbursement_pending_no,out_of_a_rejected_d,out_of_a_sanctioned_by_bank_no,pending_at_bank_level_verified_by_pmu_stcb_no,total_application_submitted_to_bank_a
Alipurduar,0.3,45.0,4.0,84.0,49.0,2.0,135.0
Bankura,18.1,342.0,34.0,311.0,376.0,63.0,750.0
Birbhum,10.81,186.0,35.0,182.0,221.0,38.0,441.0
Cooch Behar,4.68,75.0,14.0,226.0,89.0,20.0,335.0
Dakshin Dinajpur,3.53,32.0,2.0,71.0,34.0,17.0,122.0
Darjeeling,0.6,33.0,8.0,113.0,41.0,3.0,157.0
Hooghly,20.58,486.0,41.0,145.0,527.0,43.0,715.0
Howrah,4.32,58.0,9.0,52.0,67.0,11.0,130.0
Jalpaiguri,0.0,46.0,6.0,119.0,52.0,0.0,171.0
Jhargram,4.15,50.0,2.0,69.0,52.0,14.0,135.0
Kalimpong,0.0,6.0,1.0,6.0,7.0,1.0,14.0
Kolkata,1.2,17.0,5.0,8.0,22.0,1.0,31.0
Malda,10.45,94.0,18.0,292.0,112.0,29.0,433.0
Murshidabad,9.66,159.0,41.0,678.0,200.0,85.0,963.0
Nadia,11.39,41.0,10.0,184.0,51.0,13.0,248.0
North 24 Parganas,18.95,95.0,16.0,355.0,111.0,17.0,483.0
Paschim Bardhaman,7.35,198.0,10.0,19.0,208.0,10.0,237.0
Paschim Medinipur,14.96,395.0,46.0,222.0,441.0,54.0,717.0
Purba Bardhaman,18.83,657.0,65.0,253.0,722.0,53.0,1028.0
Purba Medinipur,24.76,124.0,12.0,289.0,136.0,33.0,458.0
Purulia,0.05,48.0,4.0,103.0,52.0,1.0,156.0
South 24 Parganas,8.49,76.0,13.0,151.0,89.0,17.0,257.0
Uttar Dinajpur,5.03,57.0,10.0,112.0,67.0,15.0,194.0
