district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy,no_of_sponsored_application_in_fy_fy,sep_g_disbursed_no,sep_g_sanctioned_no,sep_i_disbursed_no,sep_i_sanctioned_no,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_sep_g_loan_to_be_disbursed_fy,target_amount_of_sep_i_loan_to_be_disbursed_fy,target_amount_of_shg_loan_to_be_disbursed_fy,target_fy,target_fy_fy
Alipurduar,60.53,1353.0,4.0,16.0,27.0,0.0,0.0,0.0,0.0,29.0,23.0,12.5,60.0,262.5,175.0,30.0
Bankura,202.46,2482.0,3.0,26.0,112.0,0.0,0.0,2.0,2.0,97.0,109.0,36.0,132.0,301.5,201.0,66.0
Birbhum,369.43,4163.0,86.0,139.0,264.0,5.0,6.0,28.0,29.0,177.0,178.0,76.0,370.0,936.0,624.0,185.0
Cooch Behar,146.1,1912.0,6.0,74.0,117.0,2.0,2.0,14.0,14.0,70.0,67.0,26.0,228.0,439.5,293.0,114.0
Dakshin Dinajpur,173.24,2083.0,0.0,31.0,89.0,1.0,1.0,15.0,15.0,83.0,89.0,24.0,100.0,436.5,291.0,50.0
Darjeeling,219.15,2681.0,9.0,8.0,114.0,2.0,2.0,7.0,7.0,105.0,105.0,32.0,190.0,691.5,461.0,95.0
Hooghly,770.17,7067.0,54.0,126.0,419.0,3.0,4.0,56.0,57.0,369.0,365.0,60.5,576.0,1543.5,1029.0,288.0
Howrah,231.68,1746.0,119.0,18.0,231.0,0.0,0.0,0.0,0.0,111.0,112.0,28.0,170.0,598.5,399.0,85.0
Jalpaiguri,256.72,2113.0,0.0,8.0,201.0,2.0,2.0,2.0,2.0,123.0,112.0,16.5,156.0,381.0,254.0,78.0
Jhargram,62.62,541.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,30.0,31.0,4.0,30.0,91.5,61.0,15.0
Kalimpong,4.17,218.0,0.0,2.0,7.0,0.0,0.0,2.0,2.0,2.0,2.0,25.0,40.0,112.5,75.0,20.0
Kolkata,233.76,1829.0,0.0,13.0,255.0,0.0,0.0,0.0,0.0,112.0,122.0,50.0,238.0,390.0,260.0,119.0
Malda,100.18,1104.0,6.0,9.0,56.0,1.0,1.0,7.0,7.0,48.0,46.0,18.0,92.0,310.5,207.0,46.0
Murshidabad,369.43,6391.0,10.0,41.0,197.0,0.0,0.0,59.0,61.0,177.0,187.0,103.5,406.0,1366.5,911.0,203.0
Nadia,605.28,6842.0,68.0,55.0,442.0,2.0,2.0,46.0,50.0,290.0,374.0,66.5,492.0,1543.5,1029.0,246.0
North 24 Parganas,1454.76,17461.0,123.0,209.0,883.0,4.0,8.0,119.0,117.0,697.0,760.0,168.5,1200.0,4305.0,2870.0,600.0
Paschim Bardhaman,400.74,2859.0,73.0,68.0,259.0,1.0,4.0,3.0,2.0,192.0,175.0,16.8,200.0,855.0,570.0,100.0
Paschim Medinipur,544.75,4629.0,0.0,64.0,240.0,3.0,5.0,48.0,48.0,261.0,240.0,48.5,314.0,667.5,445.0,157.0
Purba Bardhaman,425.78,3943.0,0.0,50.0,197.0,2.0,2.0,7.0,8.0,204.0,197.0,40.5,276.0,640.5,427.0,138.0
Purba Medinipur,296.38,3698.0,21.0,75.0,161.0,10.0,10.0,57.0,56.0,142.0,140.0,39.0,252.0,352.5,235.0,126.0
Purulia,73.05,1305.0,17.0,26.0,52.0,0.0,0.0,17.0,17.0,35.0,35.0,9.0,120.0,285.0,190.0,60.0
South 24 Parganas,384.04,4276.0,54.0,27.0,233.0,1.0,1.0,12.0,13.0,184.0,179.0,33.0,270.0,1111.5,741.0,135.0
Uttar Dinajpur,275.51,2560.0,14.0,15.0,150.0,1.0,1.0,6.0,6.0,132.0,136.0,47.5,192.0,600.0,400.0,96.0
