district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_fy_24_25,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_shg_loan_to_be_disbursed_fy_24_25,target_fy_24_25
Alipurduar,60.53,1353.0,4.0,27.0,29.0,23.0,262.5,175.0
Bankura,202.46,2482.0,3.0,112.0,97.0,109.0,301.5,201.0
Birbhum,369.43,4163.0,86.0,264.0,177.0,178.0,936.0,624.0
Cooch Behar,146.1,1912.0,6.0,117.0,70.0,67.0,439.5,293.0
Dakshin Dinajpur,173.24,2083.0,0.0,89.0,83.0,89.0,436.5,291.0
Darjeeling,219.15,2681.0,9.0,114.0,105.0,105.0,691.5,461.0
Hooghly,770.17,7067.0,54.0,419.0,369.0,365.0,1543.5,1029.0
Howrah,231.68,1746.0,119.0,231.0,111.0,112.0,598.5,399.0
Jalpaiguri,256.72,2113.0,0.0,201.0,123.0,112.0,381.0,254.0
Jhargram,62.62,541.0,0.0,31.0,30.0,31.0,91.5,61.0
Kalimpong,4.17,218.0,0.0,7.0,2.0,2.0,112.5,75.0
Kolkata,233.76,1829.0,0.0,255.0,112.0,122.0,390.0,260.0
Malda,100.18,1104.0,6.0,56.0,48.0,46.0,310.5,207.0
Murshidabad,369.43,6391.0,10.0,197.0,177.0,187.0,1366.5,911.0
Nadia,605.28,6842.0,68.0,442.0,290.0,374.0,1543.5,1029.0
North 24 Parganas,1454.76,17461.0,123.0,883.0,697.0,760.0,4305.0,2870.0
Paschim Bardhaman,400.74,2859.0,73.0,259.0,192.0,175.0,855.0,570.0
Paschim Medinipur,544.75,4629.0,0.0,240.0,261.0,240.0,667.5,445.0
Purba Bardhaman,425.78,3943.0,0.0,197.0,204.0,197.0,640.5,427.0
Purba Medinipur,296.38,3698.0,21.0,161.0,142.0,140.0,352.5,235.0
Purulia,73.05,1305.0,17.0,52.0,35.0,35.0,285.0,190.0
South 24 Parganas,384.04,4276.0,54.0,233.0,184.0,179.0,1111.5,741.0
Uttar Dinajpur,275.51,2560.0,14.0,150.0,132.0,136.0,600.0,400.0
