district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sanct_ioned_in_handloom_cluster_no,loan_sponsored_sanct_ioned_in_kvib_cluster_no,proposals_sponsored_generated_in_msme_cluster_no
Alipurduar,0.0,627.0,383.0,0.0,702.0,457.0,0.0,1448.0
Bankura,1.63,136.0,45.0,70.0,136.0,45.0,70.0,136.0
Birbhum,0.0,1760.0,0.0,0.0,1760.0,0.0,0.0,2000.0
Cooch Behar,22.46,373.0,355.0,225.0,405.0,625.0,521.0,515.0
Dakshin Dinajpur,0.39,37.0,28.0,21.0,41.0,35.0,28.0,104.0
Darjeeling,0.0,60.0,0.0,0.0,60.0,0.0,0.0,60.0
Hooghly,0.0,94.0,135.0,0.0,94.0,135.0,0.0,94.0
Howrah,0.15,176.0,16.0,7.0,176.0,16.0,7.0,176.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,14.0,0.0,0.0,14.0,0.0,0.0,44.0
Kolkata,0.3,28.0,0.0,52.0,28.0,0.0,52.0,134.0
Malda,0.06,59.0,97.0,11.0,68.0,188.0,11.0,157.0
Murshidabad,0.0,152.0,541.0,0.0,154.0,600.0,0.0,154.0
Nadia,19.3,1295.0,970.0,90.0,1350.0,1000.0,95.0,2100.0
North 24 Parganas,10.04,143.0,0.0,54.0,160.0,0.0,57.0,226.0
Paschim Bardhaman,0.0,37.0,0.0,0.0,37.0,0.0,0.0,37.0
Paschim Medinipur,154.32,306.0,44.0,3890.0,309.0,44.0,3898.0,1888.0
Purba Bardhaman,1.7,40.0,408.0,115.0,40.0,424.0,123.0,81.0
Purba Medinipur,0.0,106.0,1074.0,0.0,106.0,1074.0,0.0,125.0
Purulia,4.59,231.0,9.0,220.0,259.0,9.0,234.0,302.0
South 24 Parganas,0.0,70.0,0.0,0.0,76.0,0.0,0.0,122.0
Uttar Dinajpur,0.0,2371.0,58.0,0.0,2371.0,58.0,0.0,2413.0
