district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_flcs,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,155.0,0.0,0.0,0.0,153.0,0.0
Bankura,168.0,612.0,1.0,13359.0,6.0,504.0,15.0
Birbhum,212.0,674.0,1.0,660.0,6.0,636.0,15.0
Cooch Behar,132.0,398.0,2.0,1212.0,12.0,396.0,30.0
Dakshin Dinajpur,78.0,295.0,2.0,24426.0,12.0,234.0,30.0
Darjeeling,72.0,208.0,2.0,645.0,12.0,216.0,30.0
Hooghly,237.0,1050.0,1.0,0.0,6.0,711.0,15.0
Howrah,115.0,43.0,2.0,643.0,12.0,345.0,30.0
Jalpaiguri,79.0,241.0,1.0,309.0,6.0,237.0,15.0
Jhargram,83.0,93.0,1.0,2547.0,6.0,249.0,15.0
Kalimpong,12.0,37.0,1.0,511.0,6.0,36.0,15.0
Kolkata,7.0,21.0,1.0,162.0,6.0,21.0,15.0
Malda,130.0,192.0,2.0,0.0,12.0,390.0,30.0
Murshidabad,339.0,1143.0,2.0,480.0,12.0,1017.0,30.0
Nadia,176.0,532.0,1.0,1505.0,6.0,528.0,15.0
Paschim Bardhaman,102.0,165.0,1.0,693.0,6.0,306.0,15.0
Paschim Medinipur,250.0,1421.0,1.0,234.0,6.0,750.0,15.0
Purba Bardhaman,329.0,1261.0,1.0,1970.0,6.0,987.0,15.0
Purba Medinipur,252.0,18.0,2.0,3920.0,12.0,756.0,30.0
Purulia,129.0,393.0,1.0,11071.0,6.0,387.0,15.0
Uttar Dinajpur,89.0,310.0,1.0,0.0,6.0,267.0,15.0
