district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,1533.67,1762.16,649.8,49.47,688.36,3100.32
Bankura,2480.17,5333.79,4912.61,21.41,1339.79,11586.18
Birbhum,4351.41,6045.0,4107.35,37.51,1449.72,11602.07
Cooch Behar,3210.18,5227.38,2565.0,32.67,2032.71,9825.09
Dakshin Dinajpur,1764.61,5353.97,4564.01,16.11,1038.87,10956.85
Darjeeling,6631.39,1160.81,3450.0,117.41,1037.12,5647.92
Hooghly,7113.74,5777.09,5615.4,54.29,1709.69,13102.18
Howrah,7630.62,2706.6,16000.0,38.36,1185.31,19891.91
Jalpaiguri,3891.16,3178.76,3109.1,51.91,1208.8,7496.66
Jhargram,1013.55,3044.78,2432.48,15.93,886.68,6363.93
Kalimpong,244.67,359.72,364.02,29.1,117.19,840.93
Kolkata,73229.14,696.83,25000.0,227.75,6456.58,32153.4
Malda,4012.73,7000.12,3652.32,27.77,3799.51,14451.95
Murshidabad,5419.03,10367.53,8398.15,24.55,3308.59,22074.27
Nadia,4179.38,7571.87,9075.37,22.26,2124.11,18771.35
North 24 Parganas,11317.13,5175.9,16000.0,44.32,4358.45,25534.35
Paschim Bardhaman,6102.99,415.69,7739.57,69.58,615.94,8771.2
Purba Bardhaman,6336.88,9670.7,6437.55,35.04,1974.6,18082.85
Purba Medinipur,6748.73,8403.42,5902.98,40.13,2512.79,16819.19
Purulia,2255.37,4620.62,3949.51,21.6,1869.27,10439.4
South 24 Parganas,5548.18,5996.09,11106.44,28.31,2497.78,19600.31
Uttar Dinajpur,3185.61,4510.81,1395.13,43.56,1407.29,7313.22
