District,Total Msme NPA Amt (PS),Total Msme NPA No. (PS),Total Msme O/S Amt (PS),Total Msme O/S No. (PS),Agri Pct NPA,Total Agri NPA Amt (PS),Total Agri NPA No. (PS),Total Agri O/S Amt (PS),Total Agri O/S No. (PS)
Eastern West Khasi Hills,295.4,189,2514.62,1772,11.95,515.02,1214,4308.41,7287
East Garo Hills,326.45,689,2287.56,2204,22.63,1210.46,3367,5349.79,5101
East Jaintia Hills,1278.84,371,5860.83,1934,4.58,206.97,522,4522.39,2551
East Khasi Hills,11437.42,3277,166823.54,16183,9.81,13134.61,6326,133850.22,27257
North Garo Hills,338.96,413,1228.36,1069,50.11,1867.34,4687,3726.5,5974
Ri Bhoi,1468.78,1166,51170.25,6007,35.43,8665.71,16265,24455.53,32614
South Garo Hills,288.13,263,913.72,629,21.19,557.01,2290,2629.22,3084
South West Garo Hills,431.12,312,2188.12,1282,52.57,2383.94,5179,4534.95,7560
South West Khasi Hills,115.79,63,1221.02,687,8.87,205.11,539,2311.29,2971
West Garo Hills,1818.16,1959,13577.02,8754,21.92,2879.29,8238,13132.77,13585
West Jaintia Hills,2212.39,821,19030.42,5816,6.68,1166.34,2136,17465.48,5999
West Khasi Hills,669.42,396,3777.88,2222,33.8,1952.96,3524,5777.35,7107
