District,Total Agri O/S Amt,Total Agri O/S No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Farm Term Loan Credit Amt,Farm Term Loan Credit No.,Farm Crop Credit Amt,Farm Crop Credit No.
Eastern West Khasi Hills,4308.41,7287,44.07,74,904.82,314,348.91,682,3010.61,6217
East Garo Hills,5349.79,5101,0,0,3655.78,1756,103.86,178,1590.15,3167
East Jaintia Hills,4522.39,2551,130.27,110,3498.38,1091,245.45,352,648.29,998
East Khasi Hills,133850.22,27257,13057.83,633,105670.84,2130,2475.65,3278,12645.9,21216
North Garo Hills,3726.5,5974,15.06,24,1685.03,1881,42.12,61,1984.29,4008
Ri Bhoi,24455.53,32614,2365.92,1006,4937.98,2769,861.34,2005,16290.29,26834
South Garo Hills,2629.22,3084,0,0,1842.66,1359,49.53,107,737.03,1618
South West Garo Hills,4534.95,7560,0,0,2207.39,2489,217.51,580,2110.05,4491
South West Khasi Hills,2311.29,2971,0,0,966.78,545,114.67,177,1229.84,2249
West Garo Hills,13132.77,13585,1047.65,22,7106.76,3437,755.58,2272,4222.78,7854
West Jaintia Hills,17465.48,5999,861.3,163,13337.68,864,583.48,529,2683.02,4443
West Khasi Hills,5777.35,7107,35.37,98,2220.67,1099,133.65,253,3387.66,5657
