District,No Medium,Small Amt,Small No.,Micro Amt,Micro No.,Ancillary Amt,Ancillary No.,Agri Infra Amt,Agri Infra No.,Term Loan Amt,Term Loan No.,Crop Amt,Crop No.
Eastern West Khasi Hills,0,23.91,4,255.26,175,2,2,25.79,106,55.47,50,431.76,1056
East Garo Hills,0,1.46,1,304.08,673,0,0,367.08,1365,17.26,40,826.12,1962
East Jaintia Hills,0,432.93,30,834.23,336,27.5,21,110.17,413,28.94,44,40.36,44
East Khasi Hills,8,1934.74,189,7309.84,3024,9442.95,124,1061.67,814,205.63,388,2424.36,5000
North Garo Hills,0,0,0,336.97,412,19.82,12,471.66,1709,0.17,1,1375.69,2965
Ri Bhoi,0,158.46,33,1222.1,1080,126.68,120,410.41,1798,152.48,658,7976.14,13689
South Garo Hills,0,0,0,279.73,256,0,0,237.28,1291,19.71,45,300.02,954
South West Garo Hills,0,0.03,1,385.73,297,0,0,1079.34,1912,17.82,43,1286.78,3224
South West Khasi Hills,0,3.95,2,103.78,57,0,0,24.37,119,11.88,14,168.86,406
West Garo Hills,6,246.3,159,1447.14,1773,0,0,577.08,2782,118.28,326,2183.93,5130
West Jaintia Hills,0,818.5,115,1375.97,683,127,85,125.44,348,82.44,76,831.46,1627
West Khasi Hills,0,31.1,4,627.51,379,0,0,77.45,455,37.3,65,1838.21,3004
