District,Total Other PS Disbursement Amt,Total Other PS Disbursement No.,Informal Credit Amt,Informal Credit A/C,Housing Amt (PS),Housing A/C (PS),Education Amt (PS),Education A/C (PS)
East Garo Hills,10.65,4,0,0,8.8,1,1.85,3
East Jaintia Hills,2.98,2,0,0,0,0,2.98,2
East Khasi Hills,3630.5,1695,515.51,1110,1214.66,203,1900.33,382
North Garo Hills,38.35,16,0,0,38.35,16,0,0
Ri Bhoi,490.24,207,66.2,113,415.34,79,8.7,15
South Garo Hills,23.25,4,0,0,22,2,1.25,2
South West Garo Hills,20.85,4,0,0,19.25,3,1.6,1
South West Khasi Hills,21.74,6,0,0,16.5,1,5.24,5
West Garo Hills,163.85,55,0,0,140.97,29,22.88,26
West Jaintia Hills,180.97,150,55.8,122,117.95,16,7.22,12
West Khasi Hills,21.32,6,0,0,20,3,1.32,3
