District,Total Msme O/S Amt,Total Msme O/S No.,Other Msme Amt,Other Msme No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
Eastern West Khasi Hills,2514.62,1772,217.4,158,0,0,356.88,20,1940.34,1594
East Garo Hills,2287.56,2204,63.6,16,52.8,1,138.12,35,2033.04,2152
East Jaintia Hills,5860.83,1934,279.41,88,164.46,23,1774.26,184,3642.7,1639
East Khasi Hills,166823.54,16183,4452.53,207,31708.85,95,30066.51,1140,100595.65,14741
North Garo Hills,1228.36,1069,93.25,22,0,0,31.2,7,1103.91,1040
Ri Bhoi,51170.25,6007,1065.01,930,8586.54,40,9300.59,368,32218.11,4669
South Garo Hills,913.72,629,110.72,33,0,0,86.71,10,716.29,586
South West Garo Hills,2188.12,1282,184.44,59,0,0,144.92,37,1858.76,1186
South West Khasi Hills,1221.02,687,35.01,17,0,0,47.79,6,1138.22,664
West Garo Hills,13577.02,8754,1000.58,401,205.6,6,2816.66,399,9554.18,7948
West Jaintia Hills,19030.42,5816,501.97,470,61.49,3,8051.88,721,10415.08,4622
West Khasi Hills,3777.88,2222,12.55,6,0,0,517.52,30,3247.81,2186
