District,Aadhaar Seeded No.,Ru Pay Card Activated,Ru Pay Card Issued No.,Deposits Held in A/C Amt,Zero Balance A/C No.,Total No. PMJDY,Female No.,Male No.,Urban No.,Rural No.
Eastern West Khasi Hills,498,5894,14009,2844.33,940,33928,20514,13414,4324,29604
East Garo Hills,1185,15546,25086,821.02,1547,28229,17085,11144,7427,20802
East Jaintia Hills,2765,9776,19383,3071.4,1078,38459,23465,14994,1551,36909
East Khasi Hills,12967,39715,71543,11851.66,8063,143851,84799,59052,50397,93453
North Garo Hills,1017,27755,41034,915.94,749,44063,25101,18962,3754,40309
Ri Bhoi,3764,14140,36042,2821.9,2578,56954,34503,22451,7371,49583
South Garo Hills,105,8578,12626,509.91,581,16983,10059,6924,3643,13340
South West Garo Hills,1141,21948,37322,1552.98,1096,45100,24445,20655,3546,41554
South West Khasi Hills,71,8095,12708,993.45,1408,17952,11670,6282,1400,16552
West Garo Hills,10833,77449,142499,4022.04,6658,164501,95309,69192,19323,145180
West Jaintia Hills,3361,12247,32494,3950.35,2657,61681,40337,21344,13803,47878
West Khasi Hills,1115,5827,17011,2422.43,1725,38659,20987,17672,7418,31241
