District,USSD Amt,USSD A/C,Debit & Credit Cards Amt,Debit & Credit Cards A/C,IMPS Amt,IMPS A/C,Bharat QR Code Amt,Bharat QR Code A/C,BHIM Aadhaar Amt,BHIM Aadhaar A/C,BHIM/UPI Amt,BHIM/UPI A/C
East Garo Hills,0,0,485.79,10547,457057.41,1861421,322.47,356,3554.41,218714,680668.3,13183836
East Jaintia Hills,0,1,1494.28,36153,2234436.16,7070553,594.48,807,4518.18,214691,2833234.51,53550509
East Khasi Hills,1.11,116,238596.7,850515,9153549.98,32437940,1754.13,3660,42935.53,2146208,8391478.46,200002375
North Garo Hills,0,0,236.8,6872,49.88,311,0,0,4455.85,258670,100.31,10204
Ri Bhoi,0,0,3189.13,85856,1783134.96,4651290,771.3,1014,11167.29,533525,2563907.32,52298130
South Garo Hills,0,0,135.15,3602,22.47,339,0,0,2875.59,156355,78.02,4816
South West Garo Hills,0,0,170.29,4889,219332.29,1019411,0,0,3903.97,225635,628217.58,10037411
South West Khasi Hills,0,0,643.64,15778,424.81,1480,107.87,137,744.25,47530,456.88,10967
West Garo Hills,0,0,2291.01,53444,1167555.86,4763766,462.49,845,24380.33,1130145,1614730.76,31745342
West Jaintia Hills,0,0,3455.53,114948,1209005.36,4745353,2.99,67,4256.89,259824,1113293.59,22361316
West Khasi Hills,0,0,1980.92,50684,462702.35,1958170,0,0,1652.58,96580,518554.42,8309260
