district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,41.25,12,2.75,1,159.71,48,25.13,635.54,236
Dimapur,204.26,51,1417.27,138,1064.49,382,31.94,3332.49,949
Kiphire,280.31,150,0.00,0,42.79,23,8.23,520.07,266
Kohima,82.70,42,897.71,117,289.30,136,18.12,1596.43,620
Longleng,24.83,21,0.00,0,8.19,6,3.89,210.71,115
Mokokchung,9.93,4,431.97,51,56.93,96,25.98,219.17,148
Mon,210.93,82,371.93,61,50.20,23,7.43,676.08,292
Niuland,35.95,12,0.00,0,43.06,16,20.48,210.28,86
Noklak,17.17,4,0.00,0,2.96,1,2.44,121.19,55
Peren,33.76,13,0.00,0,53.48,21,13.43,398.19,177
Phek,184.46,68,49.00,14,495.20,171,48.96,1011.48,369
Shamator,42.47,16,0.00,0,0.00,0,0.00,49.99,21
Tseminyu,34.47,16,25.75,8,34.13,11,18.63,183.16,72
Tuensang,174.34,78,0.00,0,15.33,9,3.37,455.54,213
Wokha,123.96,40,362.87,45,109.44,14,17.57,622.85,171
Zunheboto,115.09,42,384.66,79,46.90,31,8.40,558.65,214
