district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Chumoukedima,158.15,33,111,356.17,140.57,31.68,18,3.95,802.61,220,2.95,64,1140
Dimapur,807.37,126,622,1916.49,524.01,320.65,206,9.53,3363.02,1055,28.85,100,3027
Kiphire,124.01,66,132,209.26,205.16,12.63,11,3.10,407.88,255,7.25,67,1082
Kohima,63.20,22,86,190.87,460.88,75.86,57,14.29,530.94,284,64.53,97,2194
Longleng,20.28,19,19,20.28,0.02,0.00,0,0.00,103.00,99,0.02,5,5
Mokokchung,136.00,52,464,860.40,313.75,91.25,97,6.40,1425.12,706,4.53,65,1660
Mon,45.50,22,193,224.97,119.15,31.32,38,9.25,338.42,318,0.67,40,1289
Niuland,28.18,7,7,28.18,0.09,0.00,0,0.00,235.67,98,0.09,23,23
Noklak,3.00,1,1,3.00,0.63,0.00,0,0.00,20.72,13,0.63,10,10
Peren,192.86,52,74,237.26,105.55,8.30,7,0.50,1660.60,485,1.18,7,552
Phek,85.52,32,148,205.27,159.52,28.18,26,6.09,462.47,296,0.83,62,984
Shamator,1.50,1,1,1.50,0.11,0.00,0,0.00,24.60,42,0.11,10,10
Tseminyu,12.00,4,8,16.45,41.32,4.21,4,11.30,37.27,22,0.00,0,366
Tuensang,43.78,30,104,156.22,221.73,1.20,4,0.33,358.24,240,0.43,33,1483
Wokha,70.55,23,124,278.93,138.20,14.03,18,2.45,572.01,258,3.39,72,792
Zunheboto,49.92,18,110,162.83,115.65,27.06,38,9.08,298.07,177,0.37,17,743
