district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Chumoukedima,43053.38,64780.63,532.31,82.45,88.62,,52214.66,73096.65,0.00,86.48,108366.32,125311.31
Dimapur,22328.97,74525.15,328313.15,63.65,149.77,59.61,35080.99,49760.60,550774.97,66.89,425167.27,635616.56
Kiphire,4610.95,16722.89,0.00,119.29,41.89,,3865.19,39922.80,0.00,48.72,21333.84,43787.99
Kohima,17783.15,203269.90,7546.08,45.74,30.08,104.54,38877.14,675828.69,7218.07,31.67,228599.13,721923.90
Longleng,14603.88,74.03,0.00,176.07,48.30,,8294.36,153.27,0.00,173.75,14677.91,8447.63
Mokokchung,26124.47,63950.22,258.57,89.95,92.06,,29042.90,69464.62,0.00,91.70,90333.26,98507.52
Mon,18596.73,26480.65,0.00,122.41,98.75,,15191.81,26816.31,0.00,107.31,45077.38,42008.12
Niuland,3557.89,0.00,0.00,192.34,,,1849.75,0.00,0.00,192.34,3557.89,1849.75
Noklak,3690.76,216.99,0.00,72.72,97.73,,5075.28,222.03,0.00,73.77,3907.75,5297.31
Peren,24032.62,1151.18,0.00,138.72,61.62,,17324.57,1868.09,0.00,131.22,25183.80,19192.66
Phek,9887.66,23310.92,0.00,113.80,132.90,,8688.64,17540.51,0.00,126.57,33198.58,26229.15
Shamator,2944.35,0.00,0.00,164.47,,,1790.21,0.00,0.00,164.47,2944.35,1790.21
Tseminyu,9398.70,609.57,0.00,159.27,33.13,,5900.96,1840.08,0.00,129.29,10008.27,7741.04
Tuensang,6493.13,33776.81,0.00,163.70,172.63,,3966.42,19565.56,0.00,171.13,40269.94,23531.98
Wokha,9804.19,31905.44,150.27,91.79,93.67,,10680.71,34061.57,0.00,93.56,41859.90,44742.28
Zunheboto,12987.84,31950.68,0.00,92.71,193.99,,14008.89,16469.89,0.00,147.44,44938.52,30478.78
