district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Chumoukedima,3461,274.02,72,820.23,9391371,155840.75,42876,2749.85,27287,223789.15,26676,838.87
Dimapur,43377,3740.02,4222,5994.66,20770380,439950.21,216525,12990.54,297324,1099690.52,52611,1859.70
Kiphire,0,0.00,23,107.95,1428144,16953.73,1018,74.22,47,0.98,2053,79.63
Kohima,6296,425.24,198,230.06,10036798,203650.92,131588,8639.59,48465,544420.66,32662,1193.34
Longleng,0,0.00,16,44.32,1028945,11602.32,760,21.38,27,1.17,748,27.00
Mokokchung,419,42.51,22,13.39,4988056,77183.23,37761,1825.45,12397,69948.16,9292,267.36
Mon,330,20.84,217,1177.29,3849248,54040.05,7681,701.51,2799,54870.98,4808,125.21
Niuland,0,0.00,3,27.85,415398,4604.04,1393,105.42,0,0.00,465,17.12
Noklak,0,0.00,36,78.25,397296,4470.36,395,23.25,5,0.18,324,8.64
Peren,0,0.00,17,63.54,1916360,21324.08,2055,50.93,243,351.96,2147,73.34
Phek,0,0.00,11,6.65,1866552,24437.85,2648,102.49,4,0.65,2734,102.27
Shamator,0,0.00,10,7.50,243243,2962.32,1774,35.68,1,0.00,243,6.13
Tseminyu,0,0.00,0,0.00,553524,6706.62,3828,135.23,888,169.77,1266,40.83
Tuensang,0,0.00,10,24.79,2572116,30929.94,1688,85.01,222,169.93,4343,126.61
Wokha,426,49.30,97,266.16,3120521,50367.41,13444,949.06,6111,43118.14,6627,195.51
Zunheboto,240,17.72,26,43.74,2152177,32555.06,6192,497.01,1463,34494.07,3775,117.03
