district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Chumoukedima,1165.96,13149,10005,13102,16189,1771,2660,10195,23154,12412
Dimapur,3238.12,49728,38828,62785,62812,11141,23106,11751,88556,77500
Kiphire,504.71,9027,7662,11471,11829,1869,482,6151,16689,10542
Kohima,1136.14,15398,10959,16530,15474,3811,6537,14757,26357,9249
Longleng,341.42,8607,7480,12995,19170,537,3092,16087,16087,0
Mokokchung,1545.11,17683,15910,21087,23786,4845,2609,15486,33593,11749
Mon,1531.37,27615,26804,37325,39724,3293,7005,24411,54419,30116
Niuland,68.17,2494,1710,3264,2237,309,315,4205,4204,0
Noklak,168.75,2799,2615,2417,4864,14,449,5414,5414,0
Peren,698.99,9650,7604,12220,15429,339,1660,17234,17254,22
Phek,895.03,11542,9741,15048,16842,3040,1326,10020,21283,11267
Shamator,100.96,2800,2294,2898,4247,475,821,5082,5094,12
Tseminyu,134.38,1597,988,1901,1806,293,212,2498,2585,87
Tuensang,796.80,14220,13889,12405,24314,1827,2825,4092,28109,24020
Wokha,687.14,10145,6009,10928,12185,641,1398,6922,16154,7325
Zunheboto,336.51,9609,9188,8724,12277,3179,1291,14812,18797,3985
