district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Chumoukedima,12.15,2,947.04,524,8.00,1,168.76,43,22.21,2,1158.16,572,0.00,0
Dimapur,85.02,8,4475.59,1044,1585.56,21,1230.55,220,39.53,5,7416.25,1298,0.00,0
Kiphire,0.00,0,16.19,4,0.00,0,4.07,6,0.00,0,20.26,10,0.00,0
Kohima,11.63,1,1965.64,3009,0.00,0,516.18,107,6.50,2,2499.95,3119,0.00,0
Longleng,0.00,0,103.20,2,0.00,0,43.68,8,0.00,0,146.88,10,0.00,0
Mokokchung,17.83,7,414.30,47,0.00,0,84.87,189,2.00,1,519.00,244,0.00,0
Mon,0.00,0,8.82,7,0.00,0,518.24,121,0.00,0,527.07,129,0.01,1
Niuland,0.00,0,34.35,11,0.00,0,0.00,0,0.00,0,36.35,12,2.00,1
Noklak,0.00,0,0.00,0,0.00,0,1.57,1,0.00,0,1.57,1,0.00,0
Peren,0.00,0,0.00,0,0.00,0,1.00,1,0.00,0,1.00,1,0.00,0
Phek,0.00,0,25.82,12,0.00,0,14.14,6,0.00,0,39.96,18,0.00,0
Shamator,0.00,0,19.50,2,0.00,0,14.02,4,0.00,0,33.52,6,0.00,0
Tseminyu,0.01,1,0.00,0,0.00,0,24.88,10,0.00,0,24.89,11,0.00,0
Tuensang,11.17,2,0.00,0,0.00,0,35.06,5,0.00,0,46.23,7,0.00,0
Wokha,10.79,1,119.62,47,0.00,0,172.22,83,0.00,0,302.63,131,0.00,0
Zunheboto,2.96,1,45.96,13,0.00,0,272.29,44,1.01,1,322.22,59,0.00,0
