district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Chumoukedima,8,13,0,83,14,96,11,14,0,21,25
Dimapur,5,12,124,95,143,239,5,12,45,141,62
Kiphire,1,4,0,29,0,29,2,3,0,5,5
Kohima,6,89,1,88,145,231,9,45,1,96,55
Longleng,4,1,0,12,7,19,3,1,0,5,4
Mokokchung,10,27,0,18,24,41,14,12,0,37,26
Mon,4,7,0,161,63,224,9,5,0,11,14
Niuland,2,0,0,3,9,12,2,0,0,2,2
Noklak,1,1,0,24,2,26,1,1,0,2,2
Peren,5,1,0,24,4,26,5,1,0,6,6
Phek,3,5,0,17,2,19,3,5,0,8,8
Shamator,1,0,0,9,1,10,2,0,0,1,2
Tseminyu,2,1,0,2,0,2,2,1,0,3,3
Tuensang,1,8,0,5,7,12,3,4,0,9,7
Wokha,2,8,0,36,10,46,6,8,0,10,14
Zunheboto,4,8,0,16,2,18,7,6,0,12,13
