district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Chumoukedima,25.72,8,406.20,86,987.59,170,10692.59,1791
Dimapur,235.65,56,2235.16,647,8144.97,946,67682.57,14772
Kiphire,0.04,2,16.50,6,16.21,5,58.74,10
Kohima,83.23,13,499.44,133,3929.44,520,42197.82,7964
Longleng,1.29,1,7.59,2,103.20,2,188.96,49
Mokokchung,13.95,3,170.29,37,913.80,250,11519.72,3738
Mon,12.92,6,97.65,25,375.57,73,3414.29,844
Niuland,0.00,0,1.99,1,34.35,11,363.84,208
Noklak,0.00,0,3.72,1,0.00,0,11.11,2
Peren,0.17,2,10.82,6,23.43,7,456.24,195
Phek,0.00,0,48.15,6,42.22,13,815.76,225
Shamator,0.00,0,11.64,1,19.50,2,214.02,104
Tseminyu,0.00,0,0.63,1,104.29,44,1120.46,347
Tuensang,0.00,0,60.15,11,33.16,8,117.96,40
Wokha,0.00,0,88.50,12,257.60,107,3226.81,1156
Zunheboto,16.40,2,102.87,24,143.08,35,1369.99,438
