district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Chumoukedima,116.15,22,4.42,7,0.00,0,0.00,324.12,78
Dimapur,481.94,83,34.58,44,2.23,6,0.15,1441.90,363
Kiphire,7.00,4,2.46,6,1.80,3,6.01,29.94,36
Kohima,44.36,14,16.22,16,3.50,5,1.17,300.05,177
Longleng,20.28,19,15.61,28,0.00,0,0.00,85.36,82
Mokokchung,157.89,149,33.07,23,8.48,8,0.80,1063.73,392
Mon,30.58,40,35.07,31,3.66,5,1.23,298.69,272
Niuland,22.33,6,1.54,17,0.00,0,0.00,205.58,84
Noklak,3.00,1,0.00,0,0.00,0,0.00,20.72,13
Peren,180.86,41,21.84,67,0.00,0,0.00,1509.12,429
Phek,52.65,21,9.98,34,0.00,0,0.00,162.65,119
Shamator,1.50,1,0.48,2,0.00,0,0.00,24.59,42
Tseminyu,12.00,4,3.28,9,0.00,0,0.00,26.22,16
Tuensang,32.17,22,8.07,18,0.00,0,0.00,168.63,113
Wokha,68.45,34,7.40,11,3.60,5,0.85,422.44,190
Zunheboto,49.63,22,2.38,4,1.20,2,0.59,203.79,108
