district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Chumoukedima,81475,5584,6,3556,435
Dimapur,219062,17524,51,23264,1077
Kiphire,27468,992,0,995,765
Kohima,130953,7277,27,9106,575
Longleng,20203,3808,0,4157,37
Mokokchung,99505,8241,3,4645,932
Mon,93885,6762,6,8056,320
Niuland,3208,645,0,876,15
Noklak,8903,606,0,606,28
Peren,32295,2283,0,2283,873
Phek,42348,1826,0,2120,776
Shamator,3333,1395,0,1784,5
Tseminyu,9068,301,0,281,87
Tuensang,29412,3569,0,3569,197
Wokha,50428,2720,0,3170,319
Zunheboto,41537,2144,0,2549,481
