District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Amt. %
Bajali,32,"7,534","1,390.29","3,541",646.73,"7,255","7,375.77",543,550.67,457,"2,408.38",27,127.52,"15,246","11,174.44","4,111","1,324.92",11.86
Baksa,35,917,233.18,374,123.53,"2,585","3,980.22",539,778.07,246,"1,481.63",15,68.73,"3,748","5,695.03",928,970.33,17.04
Barpeta,92,"17,954","4,118.14","1,976",488.17,"17,330","21,160.58","1,499","2,313.25","1,752","8,871.93",107,545.45,"37,036","34,150.65","3,582","3,346.87",9.80
Biswanath,58,"5,954","1,208.82",946,202.02,"6,948","7,117.15",472,598.72,485,"2,890.96",31,181.61,"13,387","11,216.93","1,449",982.35,8.76
Bongaigaon,64,"15,696","3,046.24","2,695",264.95,"10,206","10,503.68",451,475.79,"1,125","5,223.36",48,265.97,"27,027","18,773.28","3,194","1,006.71",5.36
Cachar,167,"39,842","8,632.08","4,466",890.92,"36,007","35,852.54","1,904","2,496.18","2,760","12,587.64",178,965.46,"78,609","57,072.26","6,548","4,352.56",7.63
Charaideo,36,"6,813","1,453.86","1,303",263.04,"5,275","5,911.63",294,430.01,476,"2,297.89",15,58.80,"12,564","9,663.38","1,612",751.85,7.78
Chirang,38,"6,345","1,394.77",825,162.81,"5,307","5,874.42",810,961.12,263,"1,609.56",24,102.27,"11,915","8,878.75","1,659","1,226.20",13.81
Darrang,71,"14,066","3,420.95","2,112",512.95,"11,754","14,093.54",958,"1,531.57","1,261","7,287.83",184,"1,010.04","27,081","24,802.32","3,254","3,054.56",12.32
Dhemaji,47,"8,166","1,815.36","2,004",415.89,"7,079","8,600.68","1,082","1,415.32",869,"4,495.84",72,329.74,"16,114","14,911.88","3,158","2,160.95",14.49
Dhubri,89,"20,523","4,193.58","2,847",640.08,"19,646","19,253.74","1,863","1,702.16",842,"4,770.43",99,369.59,"41,011","28,217.75","4,809","2,711.83",9.61
Dibrugarh,187,"26,024","4,873.00","6,502",973.78,"22,527","25,446.85","2,071","2,979.65","2,646","14,374.24",324,"1,675.46","51,197","44,694.09","8,897","5,628.89",12.59
Dima Hasao,32,"1,494",254.99,288,51.29,"1,542","2,253.01",119,158.51,201,"1,227.67",7,32.20,"3,237","3,735.67",414,242.00,6.48
Goalpara,73,"14,410","2,963.33","2,734",560.79,"9,706","11,674.45",792,879.45,793,"4,257.99",56,288.01,"24,909","18,895.77","3,582","1,728.25",9.15
Golaghat,124,"21,073","4,118.83","5,169",864.02,"20,751","19,772.04","1,315","1,393.48","1,531","6,811.54",89,423.02,"43,355","30,702.41","6,573","2,680.52",8.73
Hailakandi,46,"5,578","1,185.90",583,140.36,"7,507","8,382.89",653,842.18,612,"3,109.90",56,229.01,"13,697","12,678.69","1,292","1,211.55",9.56
Hojai,60,"7,784","1,659.08","1,428",329.85,"9,255","10,850.57","1,197","1,407.44","1,820","8,705.00",199,850.41,"18,859","21,214.65","2,824","2,587.70",12.20
Jorhat,140,"23,883","3,970.64","8,663",948.26,"19,175","19,303.65","1,526","1,633.11","1,731","8,581.99",147,705.44,"44,789","31,856.28","10,336","3,286.81",10.32
Kamrup Metro,179,"42,777","9,018.24","14,827","2,005.00","35,135","34,424.23","2,912","2,431.33","2,098","11,152.60",192,923.95,"80,010","54,595.07","17,931","5,360.28",9.82
