District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot NPS O/S No.,Tot NPS O/S Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt,NPS NPA Amt. %
Bajali,32,2,4.20,1,2.81,"1,080","6,338.31","3,733","4,971.36","19,342","48,442.25","24,158","59,758.93","1,117",554.21,0.93
Baksa,35,13,40.75,5,30.53,461,"3,305.51","2,524","4,026.52","10,276","28,686.68","13,279","36,089.99","1,143",732.49,2.03
Barpeta,92,31,9.92,14,195.92,"2,094","15,886.45","13,999","18,585.60","57,048","1,43,421.57","73,186","1,78,099.46","5,863","4,008.97",2.25
Biswanath,58,6,59.18,7,21.04,"1,126","6,489.15","5,202","5,887.51","21,081","46,703.29","27,422","59,160.17","2,027",988.37,1.67
Bongaigaon,64,20,25.31,9,192.98,"2,639","25,243.41","12,284","18,724.72","44,770","1,23,993.37","59,722","1,68,179.79","3,950","2,514.27",1.49
Cachar,167,33,299.35,17,226.52,"3,625","30,295.73","24,546","29,729.66","1,13,453","2,30,297.70","1,41,674","2,90,848.96","13,598","8,143.31",2.80
Charaideo,36,2,0.64,3,56.38,393,"2,898.89","2,682","3,117.15","12,269","31,927.13","15,349","38,000.19",849,381.29,1.00
Chirang,38,470,789.06,4,27.28,743,"4,853.58","3,732","3,941.17","15,727","40,725.46","20,676","50,336.55","1,728",618.00,1.23
Darrang,71,5,3.04,10,145.23,"1,989","14,424.58","9,400","12,323.28","36,935","85,268.95","48,339","1,12,165.08","3,812","2,558.88",2.28
Dhemaji,47,3,1.78,4,64.32,"1,945","8,601.52","7,682","13,384.99","29,610","81,921.69","39,244","1,03,974.30","1,338","1,035.66",1.00
Dhubri,89,450,408.97,4,31.81,"2,000","10,142.84","12,396","11,420.34","49,984","1,09,556.11","64,834","1,31,560.07","7,957","4,232.80",3.22
Dibrugarh,187,165,196.46,37,722.78,"6,048","60,809.83","29,700","56,722.16","1,16,196","2,92,300.20","1,52,146","4,10,751.43","6,525","4,304.24",1.05
Dima Hasao,32,0,0.00,2,30.10,199,"1,570.04","4,260","11,059.87","12,194","32,327.69","16,655","44,987.70",630,282.17,0.63
Goalpara,73,12,5.10,4,90.42,"1,131","5,366.36","7,922","9,636.02","33,606","88,786.31","42,675","1,03,884.21","3,131","2,235.07",2.15
Golaghat,124,24,355.15,13,191.27,"3,227","24,283.70","11,816","18,946.28","61,904","1,78,626.92","76,984","2,22,403.32","4,161","2,191.58",0.99
Hailakandi,46,410,308.15,0,4.54,767,"3,161.14","4,611","6,016.80","17,467","40,003.30","23,255","49,493.93","2,266","1,228.62",2.48
Hojai,60,7,4.42,3,1.30,928,"5,657.76","8,472","10,820.96","32,487","66,686.41","41,897","83,170.85","3,001","1,574.15",1.89
Jorhat,140,20,1301.40,41,880.70,"8,000","65,192.39","19,514","33,701.12","94,640","2,15,777.17","1,22,215","3,16,852.78","4,775","4,550.14",1.44
Kamrup Metro,179,92,145.12,20,370.84,"4,387","46,474.13","20,849","29,952.50","87,674","2,03,127.69","1,13,022","2,80,070.28","9,929","6,947.46",2.48
Karbi Anglong,66,4,12.02,4,66.18,901,"5,521.59","8,709","24,405.52","29,475","82,364.06","39,093","1,12,369.37","1,352","1,135.41",1.01
Karimganj,92,2,2.00,10,128.72,683,"6,345.23","9,576","12,587.75","35,028","77,137.18","45,299","96,200.88","5,440","3,594.00",3.74
Kokrajhar,57,792,2728.47,8,82.36,"1,466","14,640.74","8,064","12,347.91","40,920","1,05,023.48","51,250","1,34,822.96","2,165","1,367.13",1.01
Lakhimpur,92,10,4.84,9,190.82,"2,815","21,017.96","12,804","24,880.54","53,793","1,36,020.45","69,431","1,82,114.61","4,026","2,575.43",1.41
Majuli,17,4,25.13,1,0.00,171,655.48,"2,144","6,057.86","4,158","13,150.27","6,478","19,888.74",210,138.68,0.70
Morigaon,68,91,126.83,7,101.02,805,"7,325.66","6,578","15,521.82","23,974","51,873.01","31,455","74,948.34","3,373","2,076.08",2.77
Nagaon,156,61,107.84,22,320.71,"4,043","27,809.06","17,780","28,154.60","95,758","2,39,252.42","1,17,664","2,95,644.63","10,702","5,679.19",1.92
Nalbari,88,9,20.68,8,106.98,"3,261","23,451.81","10,216","21,454.78","43,357","1,06,707.71","56,851","1,51,741.96","4,226","3,279.19",2.16
Sivasagar,103,18,694.46,15,221.60,"3,412","26,059.91","15,812","27,654.60","79,061","1,80,266.94","98,318","2,34,897.51","3,630","2,624.56",1.12
Sonitpur,133,45,70.20,29,516.37,"5,396","51,340.68","19,082","29,138.24","78,142","2,03,748.35","1,02,694","2,84,813.84","5,317","3,661.57",1.29
South Salmara,15,0,0.00,0,0.00,305,389.90,"1,355","1,112.93","3,534","10,275.22","5,194","11,778.05",260,235.96,2.00
Tamulpur,26,3,0.00,0,0.00,266,"1,096.54","1,653","1,840.26","6,613","18,250.45","8,535","21,187.25",711,418.46,1.98
Tinsukia,153,34,807.96,23,301.82,"3,394","33,980.05","17,557","30,530.17","70,505","1,86,150.53","91,513","2,51,770.53","4,609","3,846.44",1.53
Udalguri,51,57,76.40,5,31.29,"2,136","4,276.67","5,157","4,264.53","24,460","63,680.17","31,815","72,329.06","2,461","1,303.25",1.80
West Karbi Anglong,22,0,0.00,0,0.00,87,122.17,"1,670","4,371.09","5,155","13,719.37","6,912","18,212.63",322,223.36,1.23
