District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card activated
Bajali,32,4588,3864.63,15300,10870.81,4429,2721,19,18.17,142,188.25,36,36,8,1.00,47,110.16,24,24
Baksa,35,920,499.86,11812,7339.25,5503,4350,9,1.71,82,107.63,20,20,7,2.08,27,38.19,14,13
Barpeta,92,8844,10739.30,51671,36376.41,20804,12489,445,291.65,632,472.75,41,41,135,63.16,208,221.24,23,22
Biswanath,58,1161,2019.77,22677,16998.67,9718,6372,24,24.70,185,192.55,22,20,4,24.74,32,71.67,2,2
Bongaigaon,64,2244,5300.93,17514,15120.13,8196,7018,16,8.07,116,67.52,20,20,11,21.7,31,57.09,4,3
Cachar,167,4963,4182.62,51324,25726.10,15152,9784,34,27.13,140,148.34,33,34,57,73.05,376,445.28,74,71
Charaideo,36,638,439.47,10148,6325.16,4865,4438,28,20.61,147,130.54,6,6,12,26.38,27,31.97,3,3
Chirang,38,933,1852.63,14618,11135.02,8902,5945,9,8.01,44,60.24,4,2,4,0.54,12,6.26,1,1
Darrang,71,9304,6718.52,35378,25142.41,16068,9706,41,43.66,294,299.39,26,24,132,212.21,383,657.64,29,27
Dhemaji,47,3433,3963.32,29786,21095.30,10273,5964,25,20.99,387,364.26,27,27,10,11.54,80,92.88,19,19
Dhubri,89,2282,3063.53,29839,18449.63,10323,7138,6,3.85,198,218.44,20,20,48,71.9,66,69.41,1,1
Dibrugarh,187,11109,15812.10,65868,46365.86,35857,16956,33,30.35,239,258.17,80,66,21,13.71,65,66.12,4,4
Dima Hasao,32,41,85.34,1518,587.63,204,146,18,7.23,115,75.35,56,50,0,0,24,10.71,6,6
Goalpara,73,1371,2942.85,24378,16402.70,14742,11963,4,2.80,189,170.91,13,9,5,10.35,28,24.05,7,7
Golaghat,124,5785,6656.50,59030,34969.67,22725,9838,41,31.86,234,154.82,16,12,31,56.11,60,47.96,3,3
Hailakandi,46,2138,362.50,16543,7664.30,7568,5177,54,25.88,92,81.63,21,21,17,0.15,42,31.09,7,6
Hojai,60,2614,2199.95,21158,12428.97,7122,4093,34,13.07,97,50.27,9,9,16,6.66,51,30.03,1,1
Jorhat,140,5608,4447.93,44330,21844.31,20457,7373,80,87.84,186,169.99,73,23,29,26.52,78,90.35,8,7
Kamrup Metro,179,10513,9620.72,64263,43431.84,34313,20194,116,102.59,273,269.36,52,47,73,275.99,137,414.69,17,16
Karbi Anglong,66,1502,1846.49,30679,17927.91,6348,2910,17,14.73,188,156.64,6,6,26,32.27,97,100.28,5,5
Karimganj,92,1309,692.10,21786,11260.64,4279,2683,22,48.73,66,97.45,15,13,26,118.69,134,231.22,27,27
Kokrajhar,57,1878,4548.65,24610,21225.33,10942,9223,15,22.81,168,165.20,1,1,27,66.66,62,76.75,8,8
Lakhimpur,92,8412,9862.14,63086,41241.66,19901,14111,35,33.29,205,162.14,20,14,59,114.22,139,215.98,3,2
Majuli,17,219,81.63,5664,2762.83,1901,1256,1,,21,14.05,,,4,1.41,86,23.92,,
Morigaon,68,4497,3788.63,39037,23773.55,14588,10837,132,99.72,445,473.62,177,175,150,280.52,334,611.64,87,87
Nagaon,156,12690,15125.43,83124,49756.38,33202,17665,331,219.23,485,391.79,187,170,601,1444.49,734,1171.06,155,140
Nalbari,88,6965,6198.21,39568,21567.25,13231,9176,91,51.91,621,453.25,123,116,18,51.67,114,110.81,21,21
Sivasagar,103,4220,3446.99,28076,14459.85,9884,5583,96,77.16,410,332.07,35,15,12,8.56,194,137.39,81,81
Sonitpur,133,7475,6331.26,33799,23411.71,15527,10589,137,149.96,342,431.90,121,110,39,63.18,102,150.07,15,14
South Salmara,15,72,57.78,2039,821.73,368,346,,,8,11.54,,,,,29,33.81,2,2
Tamulpur,26,155,490.43,5523,4214.47,2467,1425,0,0,22,52.59,3,3,0,0,6,5.04,1,1
Tinsukia,153,8668,9983.34,46181,35046.17,23909,13812,209,122.67,375,486.30,84,84,47,111.86,114,160.15,10,10
Udalguri,51,1203,1922.93,30140,20655.70,16553,12663,5,4.99,103,114.02,8,7,18,36.34,29,92.21,2,2
West Karbi Anglong,22,813,390.60,10399,5064.98,789,314,0,0,13,7.69,0,0,,0,8,1.53,0,0
