district,Total Branch,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Bajali,32,"1,42,572",44695,"78,077","1,09,142","1,87,219","23,188","7,010","87,844","30,542","86,497"
Baksa,35,"3,03,924",-,"1,12,858","1,91,004","3,03,862","24,062","8,303","1,49,416","67,668","1,37,365"
Barpeta,92,"10,88,310","3,50,957","6,61,929","8,46,916","15,08,845","1,79,574","33,994","8,11,324","3,08,697","6,19,992"
Biswanath,58,"3,79,716","46,435","1,69,520","2,56,595","4,26,115","49,062","15,501","1,96,384","72,272","1,65,380"
Bongaigaon,64,"2,63,895","1,69,128","2,02,821","2,91,066","4,93,887","54,506","15,325","3,18,083","1,03,764","1,93,977"
Cachar,167,"9,01,680","2,19,917","4,91,617","6,29,924","11,21,541","1,32,565","9,88,571","7,26,002","2,96,083","4,60,766"
Charaideo,36,"2,94,561","33,893","1,28,358","2,00,071","3,28,429","39,671","8,873","1,74,091","70,804","1,20,296"
Chirang,38,"3,70,951","15,046","1,49,510","2,36,362","3,85,872","24,880","11,785","2,44,850","1,00,595","1,48,046"
Darrang,71,"7,10,407","2,51,881","4,13,847","5,48,397","9,62,244","1,19,124","20,590","4,68,849","1,77,066","3,79,499"
Dhemaji,47,"5,86,100","1,78,517","3,23,286","4,41,165","7,64,451","87,926","17,568","4,60,516","1,30,334","2,16,934"
Dhubri,89,"14,59,135","3,32,167","7,70,120","10,20,425","17,90,545","3,04,536","31,854","8,63,439","3,11,563","7,51,165"
Dibrugarh,187,"5,12,302","1,86,811","2,75,712","4,27,601","7,03,313","87,715","27,029","4,58,938","2,06,209","2,30,483"
Dima Hasao,32,"49,493","16,724","32,186","36,354","68,540","1,298","5,083","37,571","21,640","23,118"
Goalpara,73,"5,91,035","2,54,394","3,49,225","4,96,628","8,45,853","91,637","17,861","4,49,644","1,72,285","3,82,349"
Golaghat,124,"5,66,332","1,81,755","3,10,638","4,52,200","7,62,838","97,515","24,109","4,68,049","1,87,129","3,34,283"
Hailakandi,46,"3,82,670","1,70,898","2,46,027","3,17,756","5,63,783","79,245","14,774","3,08,216","1,29,617","2,49,153"
Hojai,60,"3,90,567","3,27,089","2,98,641","4,18,918","7,17,559","82,179","19,236","5,69,326","1,97,867","3,36,362"
Jorhat,140,"3,02,074","2,11,218","1,95,287","3,17,933","5,13,220","81,754","24,94,405","3,47,053","1,30,952","2,12,965"
Kamrup Metro,179,"9,64,227","1,03,009","4,46,235","6,20,165","10,66,400","1,11,443","32,128","6,84,937","3,35,484","4,24,523"
Karbi Anglong,66,"2,18,882","43,486","1,16,744","1,70,160","2,86,904","15,172","11,031","91,553","43,203","92,236"
Karimganj,92,"7,10,594","1,04,520","3,63,485","4,51,378","8,14,863","1,24,270","25,529","5,15,784","2,14,815","3,54,842"
Kokrajhar,57,"6,08,900","92,289","3,12,250","4,22,212","7,34,462","80,050","20,688","3,63,541","1,09,303","3,05,623"
Lakhimpur,92,"5,74,966","1,92,557","3,33,871","4,62,232","7,96,103","92,147","21,471","5,27,434","1,58,556","2,77,277"
Majuli,17,"1,23,521","30,817","65,942","88,379","1,54,321","22,971","2,862","94,608","39,105","67,401"
Morigaon,68,"7,59,966","1,31,908","3,74,473","5,17,065","8,91,538","1,52,123","15,184","5,88,053","2,27,676","3,83,598"
Nagaon,156,"13,73,329","5,66,372","8,33,676","11,05,851","19,39,527","2,67,657","43,85,023","10,53,980","3,41,893","9,17,471"
Nalbari,88,"4,28,407","68,931","2,15,081","3,06,962","5,22,043","54,712","17,032","2,15,223","97,547","2,42,816"
Sivasagar,103,"2,54,852","88,839","1,44,436","2,14,011","3,58,447","36,411","2,11,140","2,72,335","1,12,395","1,47,583"
Sonitpur,133,"5,72,677","2,43,166","3,62,619","5,47,035","9,09,654","1,15,127","32,652","4,54,519","1,72,077","3,51,644"
South Salmara,15,"2,54,168","22,941","1,08,091","1,68,962","2,77,053","37,368","2,882","1,06,072","27,101","1,13,955"
Tamulpur,26,"2,56,972",-,"1,01,931","1,54,914","2,56,845","18,051","8,237","1,65,447","68,862","1,05,378"
Tinsukia,153,"4,33,125","3,69,078","3,10,714","4,91,299","8,02,013","1,09,218","28,416","5,03,715","1,87,099","2,63,216"
Udalguri,51,"6,49,501","1,12,251","3,09,703","4,51,910","7,61,613","90,369","20,239","3,52,224","1,40,056","2,62,189"
West Karbi Anglong,22,"1,20,091",0,"50,776","69,304","1,20,080","6,552","4,404","39,203","13,926","42,659"
