district,No of rural branches in district,No. of camps conducted during the June'23 Quarter of FY(2023-24),No. of camps conducted during the Sept'23 Quarter of FY(2023-24),No. of camps conducted during the Dec'23 Quarter of FY(2023-24),No. of camps conducted during the Mar24 Quarter of FY(2023-24),Total No. of Camps during the FY(2023-24)
Baksa,61,32,12,25,26,95
Barpeta,63,115,72,74,46,307
Biswanath,36,11,0,21,21,53
Bongaigaon,25,0,0,0,0,0
Cachar,93,0,0,0,0,0
Charaideo,24,48,49,82,56,235
Chirang,23,8,0,18,16,42
Darrang,40,20,19,15,17,71
Dhemaji,23,43,27,75,0,145
Dhubri,41,98,0,31,0,129
Dibrugarh,88,48,37,16,90,191
Dima Hasao,12,2,8,0,286,296
Goalpara,44,33,47,285,0,365
Golaghat,74,10,10,0,0,20
Hailakandi,18,48,22,45,58,173
Hojai,21,22,0,0,0,22
Jorhat,58,84,78,43,74,279
Kamrup Metro,136,21,121,34,20,196
Karbi Anglong,41,12,0,17,38,67
Karimganj,56,76,37,42,66,221
Kokrajhar,35,26,12,70,20,128
Lakhimpur,53,94,70,0,92,256
Majuli,16,28,65,32,19,144
Morigaon,41,34,8,12,14,68
Nagaon,93,23,34,58,92,207
Nalbari,58,24,146,119,22,311
Sivasagar,55,14,0,20,32,66
Sonitpur,59,24,0,95,18,137
South Salmara,10,18,24,50,0,92
Tinsukia,61,19,23,18,18,78
Udalguri,32,155,21,38,184,398
West Karbi Anglong,22,8,0,6,6,20
