district,Total Branch,During the Quarter Savings Linked No,During the Quarter Savings Linked Amount,During the Quarter Credit Linked No,During the Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bajali,32,186,219.11,424,"1,717.35",763,775.46,"1,514","5,171.22","2,889","6,604.66",91,45.68,0 .69
Baksa,35,464,108.92,562,"2,176.40","1,085",284.49,"1,761","6,120.14","3,941","9,395.18",269,118.05,1 .26
Barpeta,92,"2,522","1,058.45","1,694","5,902.37","4,924","3,114.53","5,485","16,227.24","10,585","20,153.72",790,432.14,2 .14
Biswanath,58,841,104.25,"1,009","3,260.91","2,000",406.17,"3,915","11,870.46","8,131","16,699.52",906,290.71,1 .74
Bongaigaon,64,"1,283",325.15,692,"2,324.85","1,921",557.54,"1,981","6,053.36","5,247","11,493.73",164,58.93,0 .51
Cachar,167,"1,148",447.47,"1,288","3,396.94","3,104","1,128.79","4,543","10,011.31","8,080","13,912.06",552,184.84,1 .33
Charaideo,36,378,41.09,506,"2,060.46",682,49.33,"1,597","5,289.71","4,260","8,997.47",91,38.80,0 .43
Chirang,38,"1,040",240.69,399,"1,348.24","1,288",279.72,"1,504","4,439.64","2,931","6,777.73",245,89.76,1 .32
Darrang,71,"1,316",865.92,"1,329","4,336.73","3,015","2,476.62","4,266","12,283.69","8,315","16,677.48",600,497.02,2 .98
Dhemaji,47,"2,214",436.58,"1,363","5,256.85","3,709",940.74,"4,744","14,790.93","7,874","18,184.63",475,179.45,0 .99
Dhubri,89,"4,084",980.61,"1,070","2,622.74","5,777","1,751.06","4,594","10,170.37","8,269","13,033.80",718,277.63,2 .13
Dibrugarh,187,"2,163",666.73,"1,438","5,401.30","4,265","1,801.30","5,521","16,688.32","8,730","20,071.75",340,157.08,0 .78
Dima Hasao,32,180,7.94,191,532.86,467,21.18,537,"1,576.40","1,260","2,802.06",76,28.46,1 .02
Goalpara,73,914,154.50,856,"3,085.27","1,807",541.05,"3,089","9,318.34","6,877","14,100.35",731,335.17,2 .38
Golaghat,124,"1,933",304.38,"1,544","5,649.72","3,854","1,278.31","5,383","16,717.69","10,330","25,565.76",209,112.81,0 .44
Hailakandi,46,"1,035",536.98,588,"1,447.31","1,702",644.47,"1,694","3,760.60","3,442","5,720.73",350,107.60,1 .88
Hojai,60,"1,133",286.02,895,"2,552.36","1,831",588.34,"3,007","6,869.93","5,487","9,726.85",183,112.32,1 .15
Jorhat,140,"1,258",602.43,"1,242","4,709.48","2,499",930.77,"4,062","13,638.76","7,683","19,482.47",91,37.30,0 .19
Kamrup,179,"1,353",592.75,"1,370","5,206.64","3,677","2,054.10","7,273","21,676.72","11,345","24,525.05","1,014",644.29,2 .63
Kamrup Metro,450,794,154.37,598,"2,252.52","1,945","1,692.77","1,261","4,666.73","5,059","9,710.02",244,222.21,2 .29
Karbi Anglong,66,236,20.17,"1,505","5,344.76",613,80.02,"3,777","11,535.73","7,495","19,942.05",232,56.02,0 .28
Karimganj,92,914,311.68,587,"1,412.26","1,615",348.58,"2,285","4,695.00","5,034","8,004.72",636,209.06,2 .61
Kokrajhar,57,"3,166",568.29,587,"1,878.91","3,785",626.33,"2,058","5,641.65","4,182","7,457.95",235,83.88,1 .12
Lakhimpur,92,"1,884",932.84,"1,424","5,300.63","3,401","1,807.87","5,717","16,745.92","10,473","20,686.79",563,141.39,0 .68
Majuli,17,118,10.47,177,601.42,314,20.77,468,"1,470.71","2,164","3,971.92",93,35.98,0 .91
Morigaon,68,"1,015",595.12,"1,069","3,851.44","2,285",784.58,"3,749","10,128.64","7,944","14,137.36","1,598",706.38,5 .00
Nagaon,156,"4,463",778.84,"2,768","10,347.25","6,533","2,348.78","8,258","25,691.39","15,677","32,883.37",521,306.61,0 .93
Nalbari,88,798,395.34,"1,218","5,273.83","2,148","2,041.22","4,273","15,949.86","9,381","21,447.13",590,299.99,1 .40
Sivasagar,103,"1,097",579.38,760,"2,861.32","2,525",870.77,"2,472","7,305.27","5,882","12,045.25",171,102.90,0 .85
Sonitpur,133,"2,693",626.45,"1,285","4,946.81","4,311","2,116.12","4,703","14,892.68","9,602","19,559.49","1,016",378.11,1 .93
South Salmara,15,406,47.05,82,252.64,798,50.41,333,925.95,974,"1,842.92",149,38.28,2 .08
Tamulpur,26,608,255.46,287,"1,106.43",736,220.14,782,"2,554.93","2,276","5,511.69",77,30.15,0 .55
Tinsukia,153,"1,355",401.83,"1,229","4,843.44","2,780",711.04,"4,135","14,250.18","7,942","18,649.43",377,169.89,0 .91
Udalguri,51,"1,728",313.38,595,"2,002.89","2,195",336.01,"1,974","6,064.97","4,329","8,300.74",520,278.35,3 .35
West Karbi Anglong,22,367,25.57,572,"2,193.72",464,26.16,"1,434","4,475.53","2,984","6,305.17",370,71.35,1 .13
