district,SI. No.,Required no of ATM calculated at 20 ATM per lakh population (a),"No. of ATM as on June 30, 2023 (as per SLBC site)","No. of ATM as on Mar 31, 2024 (as per SLBC site) (b)",Shortfall in ATMs in Phase I (a-b),Revised target for additional ATMs required to be installed in Phase I*,Targets Given by LDMs to banks in Phase I,No. of ATM
Baksa,1,191,28,29,162,50,47,
Cachar,2,348,221,223,125,127,127,
Charaideo,3,95,29,29,66,27,27,
Chirang,4,97,15,17,80,57,57,
Dima Hasao,5,43,22,22,21,21,21,
Hailakandi,6,132,56,55,77,72,24,
Hojai(Nagaon),7,187,85,83,104,71,71,
Karbi Anglong,8,192,39,36,156,69,69,
Karimganj,9,246,89,95,151,127,108,
Nalbari,10,155,107,109,46,48,47,
South Salmara,11,111,4,6,105,12,11,
Tinsukia,12,266,231,222,44,35,35,
West Karbi Anglong,13,61,6,6,55,6,6,
