district,Total Branch,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
Bajali,32,"4,270","11,366.12",98,"3,406.18",2,269.55,574,367.96,"4,944","15,409.81"
Baksa,35,"5,610","10,549.34",146,"2,511.54",4,684.00,915,412.78,"6,675","14,157.66"
Barpeta,92,"16,752","57,176.75",874,"16,331.83",41,"3,360.93","1,924",625.67,"19,591","77,495.18"
Biswanath,58,"8,030","21,773.46",502,"4,146.55",7,230.98,"2,483","1,158.70","11,022","27,309.69"
Bongaigaon,64,"10,982","36,856.85",469,"17,425.32",29,"1,876.21","1,129",430.39,"12,609","56,588.77"
Cachar,167,"24,905","81,452.48","1,609","37,033.43",122,"14,569.10","2,042","1,299.90","28,678","1,34,354.91"
Charaideo,36,"5,157","12,084.62",207,"1,598.04",7,42.43,281,134.84,"5,652","13,859.93"
Chirang,38,"6,963","14,053.68",314,"2,908.34",5,"1,178.93",625,164.13,"7,907","18,305.08"
Darrang,71,"12,729","34,056.91",561,"12,749.20",18,946.28,"2,083",632.36,"15,391","48,384.75"
Dhemaji,47,"8,519","21,155.11",626,"6,259.62",14,181.47,"4,750","2,207.34","13,909","29,803.54"
Dhubri,89,"14,833","34,862.73",809,"10,344.33",16,"2,291.86",961,437.04,"16,619","47,935.96"
Dibrugarh,187,"29,675","1,12,186.08","2,377","56,696.95",224,"13,112.91","2,166",776.46,"34,442","1,82,772.40"
Dima Hasao,32,"4,568","6,757.12",58,731.77,2,4.24,18,19.71,"4,646","7,512.84"
Goalpara,73,"12,600","27,749.55",317,"9,045.19",5,74.92,"1,830",549.20,"14,752","37,418.86"
Golaghat,124,"16,947","41,946.49","1,244","16,741.61",19,"1,431.80","1,862",869.81,"20,072","60,989.71"
Hailakandi,46,"7,637","15,489.31",300,"3,217.11",11,606.78,366,197.32,"8,314","19,510.52"
Hojai,60,"11,073","32,820.73",696,"8,872.06",10,454.44,"1,548",688.58,"13,327","42,835.81"
Jorhat,140,"19,083","85,782.86","1,326","45,926.74",139,18182.14,"2,189","1,570.71","22,737","1,51,462.45"
Kamrup,179,"21,274","64,428.42","1,603","23,057.28",65,"6,590.90","4,331","1,841.34","27,273","95,917.94"
Kamrup Metro,450,"65,564","7,60,230.75","8,293","7,53,097.02","2,090","3,49,297.59","3,148","21,228.45","79,095","18,83,853.81"
Karbi Anglong,66,"8,888","17,266.52",266,"2,358.60",3,3.92,"1,704",697.82,"10,861","20,326.86"
Karimganj,92,"9,958","31,948.79",736,"14,995.41",45,"2,498.57","1,494","1,001.97","12,233","50,444.74"
Kokrajhar,57,"8,615","21,553.68",443,"6,281.33",3,44.97,824,968.74,"9,885","28,848.72"
Lakhimpur,92,"15,449","38,642.01","1,649","16,733.28",72,4323.11,"8,948","4,012.15","26,118","63,710.55"
Majuli,17,"1,612","3,803.88",205,626.20,3,25.87,820,475.54,"2,640","4,931.49"
Morigaon,68,"9,922","23,999.77",758,"6,677.41",18,827.22,"1,503",643.98,"12,201","32,148.38"
Nagaon,156,"25,973","76,889.79","1,547","36,187.03",131,"7,707.41","2,503","1,045.41","30,154","1,21,829.64"
Nalbari,88,"12,962","36,200.55",511,"10,296.15",19,278.70,"1,315",617.57,"14,807","47,392.97"
Sivasagar,103,"16,717","57,565.52","1,079","26,481.82",60,"7,434.37","2,006","1,014.64","19,862","92,496.35"
Sonitpur,133,"19,977","72,383.57","1,159","29,373.15",143,"6,028.54","2,107","1,165.82","23,386","1,08,951.08"
South Salmara,15,"1,784","4,260.38",32,456.46,1,12.67,31,103.90,"1,848","4,833.41"
Tamulpur,26,"3,413","4,629.19",34,327.77,1,11.40,869,415.6,"4,317","5,383.96"
Tinsukia,153,"25,680","1,06,389.95","1,817","46,508.73",83,"7,230.90","1,374",588.36,"28,954","1,60,717.94"
Udalguri,51,"9,626","18,712.74",149,820.84,1,0.97,"1,541",797.00,"11,317","20,331.55"
West Karbi Anglong,22,"1,739","1,527.40",3,9.21,1,28.27,36,14.09,"1,779","1,578.97"
