district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Bajali,32,199,293.89,-,-,574,562.74,"5,822","2,542.42",116,148.86,94,157.78,0,0,0,0,"1,481","1,696.04","8,286","5,401.73"
Baksa,35,"1,122",771.54,6,3.24,172,244.14,325,213.81,44,54.54,28,42.85,0,0,0,0,"1,234","3,071.87","2,931","4,401.99"
Barpeta,92,"3,100","1,979.11",1,1.29,"1,225","1,143.16","8,207","3,510.15",243,310.40,319,259.64,1,6.42,0,0,"3,958","8,183.91","17,054","15,394.08"
Biswanath,58,"1,402","1,029.96",2,25.54,39,43.88,337,142.26,80,69.05,10,15.80,0,0,0,0,"1,762","3,912.10","3,632","5,238.59"
Bongaigaon,64,391,194.43,1,1.23,"1,673",925.62,"3,997","1,145.21",225,252.72,78,24.00,2,110.58,1,6.5,"2,109","3,149.34","8,477","5,809.63"
Cachar,167,"3,675","1,984.61",4,2.20,"1,239","1,751.87","3,762","1,058.51",461,"1,446.23",335,677.88,8,59.32,4,7.06,"5,025","7,205.20","14,513","14,192.88"
Charaideo,36,222,193.39,1,2.40,62,78.16,24,18.33,127,167.46,4,4.51,1,0.65,0,0,499,729.86,940,"1,194.76"
Chirang,38,"4,809","3,404.36",1,0.43,168,124.48,14,16.87,58,79.85,307,81.93,0,0,0,0,"1,469","2,758.30","6,826","6,466.22"
Darrang,71,"3,493","2,288.15",13,9.33,886,"1,425.67","4,052","1,696.25",163,224.46,283,562.27,1,21.6,1,12.59,"2,645","6,984.81","11,537","13,225.13"
Dhemaji,47,805,535.17,1,0.28,87,162.36,"2,220","1,380.22",217,221.67,21,27.13,0,0,0,0,"1,944","3,727.69","5,295","6,054.52"
Dhubri,89,928,709.84,8,4.33,357,256.91,"2,300",471.59,165,129.50,94,52.93,0,0,7,7.68,"2,302","3,696.18","6,161","5,328.96"
