district,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weaker No,Loans to weaker Amt
Bajali,32,0,0.00,39,46.25,409,"1,001.39",0,0,0,0,"2,036","1,143.88","2,484","2,191.52","11,234","14,218.74"
Baksa,35,0,0.00,30,46.86,61,464.64,0,0,0,0,906,"1,017.43",997,"1,528.93","8,445","13,090.39"
Barpeta,92,0,0.00,137,212.46,266,"2,399.50",0,0,0,0,"16,807","10,437.68","17,210","13,049.64","44,928","53,323.45"
Biswanath,58,0,0.00,63,93.66,82,596.93,0,0,0,0,"6,102","4,533.16","6,247","5,223.75","18,539","21,761.84"
Bongaigaon,64,0,0.00,65,104.89,198,"1,271.67",3,0.9,0,0,"7,669","4,644.82","7,935","6,022.28","23,821","31,136.14"
Cachar,167,0,0.00,503,532.62,684,"3,690.82",6,9.33,0,0,"47,174","26,948.14","48,367","31,180.91","70,331","58,252.79"
Charaideo,36,0,0.00,24,29.89,55,414.08,0,0,0,0,"3,427","1,874.31","3,506","2,318.28","13,235","13,548.58"
Chirang,38,0,0.00,23,43.36,45,385.70,1,0.3,0,0,"5,547","3,709.60","5,616","4,138.96","12,758","16,354.74"
Darrang,71,0,0.00,137,195.30,182,"1,529.91",1,0.3,0,0,"6,763","4,849.96","7,083","6,575.47","33,288","36,373.96"
Dhemaji,47,0,0.00,84,118.71,96,819.84,0,0,0,0,"5,235","4,424.10","5,415","5,362.65","21,057","28,548.07"
Dhubri,89,0,0.00,65,98.38,198,"1,107.11",2,0.6,0,0,"17,238","12,739.07","17,503","13,945.16","32,723","40,140.85"
Dibrugarh,187,0,0.00,284,416.42,446,"3,368.40",14,0,0,0,"18,055","12,002.54","18,799","15,787.36","62,990","63,329.12"
Dima Hasao,32,0,0.00,16,17.66,20,166.82,0,0,0,0,-,-,36,184.48,"2,152","4,790.14"
Goalpara,73,0,0.00,58,131.50,90,800.19,8,4.56,1,0.01,11220,6829.8,"11,377","7,766.06","26,386","31,980.83"
Golaghat,124,0,0.00,150,211.11,205,"1,666.19",0,0,0,0,"19,302","10,362.51","19,657","12,239.81","50,635","46,590.07"
Hailakandi,46,0,0.00,33,40.62,61,480.91,0,0,0,0,"7,349","4,153.17","7,443","4,674.70","13,487","13,464.37"
Hojai,60,0,0.00,58,115.04,51,435.44,0,0,0,0,"7,059","4,488.96","7,168","5,039.44","19,028","21,087.68"
Jorhat,140,0,0.00,340,591.00,620,"4,689.61",0,0,0,0,"12,970","7,126.28","13,930","12,406.89","40,760","39,133.10"
Kamrup Metro,179,0,0.00,684,"1,260.99","2,692","7,121.69",10,3,0,0,"24,052","16,027.07","27,438","24,412.75","68,814","65,765.92"
Karbi Anglong,66,0,0.00,31,50.82,64,461.56,0,0.00,0,0,"2,412","1,526.17","2,507","2,038.55","12,510","19,212.86"
Karimganj,92,0,0.00,60,116.04,237,921.65,0,0,0,0,"18,797","10,512.37","19,094","11,550.06","27,843","24,545.99"
Kokrajhar,57,0,0.00,59,91.62,94,943.06,0,0,0,0,"12,898","8,197.16","13,051","9,231.84","27,955","34,894.80"
Lakhimpur,92,0,0.00,183,284.84,286,"2,538.30",0,0,0,0,"9,465","5,437.31","9,934","8,260.45","40,363","44,166.85"
Majuli,17,0,0.00,10,11.39,42,408.93,0,0,0,0,115,428.83,167,849.15,"4,076","7,002.24"
Morigaon,68,0,0.00,75,124.23,119,"1,289.65",0,0,0,0,"6,298","3,874.21","6,492","5,288.09","25,098","25,341.85"
Nagaon,156,0,0.00,118,178.99,443,"3,323.31",0,0,0,0,"20,145","12,494.84","20,706","15,997.14","65,685","70,347.57"
Nalbari,88,0,0.00,151,205.41,257,"2,482.31",0,0,0,0,"8,849","5,326.98","9,257","8,014.70","30,695","37,372.60"
Sivasagar,103,0,0.00,141,241.86,226,"1,964.87",0,0,0,0,"11,689","7,309.01","12,056","9,515.74","42,550","35,082.83"
Sonitpur,133,0,0.00,257,446.30,624,"3,824.63",0,0,0,0,"15,603","13,753.12","16,484","18,024.05","43,219","48,198.85"
South Salmara,15,0,0.00,10,14.07,9,51.00,0,0,0,0,115,600.97,134,666.04,"1,273","2,974.15"
Tamulpur,26,0,0.00,45,59.99,32,258.02,0,0,0,0,"1,484","1,402.18","1,561","1,720.19","4,586","7,766.94"
Tinsukia,153,0,0.00,236,442.58,263,"2,350.21",0,0,0,0,"14,834","10,249.44","15,333","13,042.23","43,199","46,411.81"
Udalguri,51,0,0.00,167,220.76,96,762.01,0,0,0,0,"4,732","3,038.73","4,995","4,021.50","18,498","18,461.40"
West Karbi Anglong,22,0,0.00,4,5.18,5,56.50,0,0,0,0,0,0,9,61.68,"2,749","5,787.17"
