district,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bajali,32,"28,330","1,90,033","13,717","98,194","2,91,140","48,642","13,924","1,40,448"
Baksa,35,"58,278","2,38,847","23,798","1,43,292","3,86,059","63,168","21,088","2,22,658"
Barpeta,93,"1,89,971","9,72,201","1,07,362","5,29,280","15,74,734","3,25,631","70,763","7,90,014"
Biswanath,58,"88,260","3,13,957","43,758","2,03,060","4,91,061","94,879","38,450","3,29,770"
Bongaigaon,64,"77,815","4,39,468","40,392","2,27,459","6,42,667","1,33,727","29,096","3,34,370"
Cachar,170,"1,59,140","10,43,866","94,455","3,77,488","15,92,066","2,42,697","59,599","5,96,227"
Charaideo,36,"41,483","2,43,340","12,207","97,249","3,74,536","62,787","23,329","1,62,061"
Chirang,38,"67,867","3,08,529","36,134","1,76,832","4,82,216","93,977","19,432","2,64,131"
Darrang,71,"1,26,194","6,44,105","72,453","3,18,377","9,84,118","1,66,448","44,035","4,88,606"
Dhemaji,48,"1,31,055","4,15,506","78,031","2,81,428","6,86,793","1,88,374","55,457","4,67,940"
Dhubri,90,"1,72,495","9,98,553","93,146","4,76,390","15,60,102","2,81,817","67,018","7,15,903"
Dibrugarh,189,"1,82,555","8,41,008","1,08,690","3,87,042","12,65,167","2,39,620","72,592","6,42,189"
Dima Hasao,33,"18,396","1,01,367","9,207","41,225","1,46,862","25,266","8,434","68,055"
Goalpara,73,"1,42,131","5,88,440","70,385","3,47,328","9,85,298","2,09,337","46,799","5,36,258"
Golaghat,125,"1,25,717","6,24,419","29,613","2,79,144","9,75,738","1,88,596","57,938","4,62,799"
Hailakandi,46,"59,573","4,00,433","35,681","1,61,421","6,33,246","1,07,318","26,027","2,47,021"
Hojai,61,"1,20,041","6,22,359","69,714","2,67,017","9,12,050","1,66,033","32,656","4,19,714"
Jorhat,141,"1,04,345","6,54,543","24,694","2,47,761","9,53,584","1,64,658","47,551","3,99,657"
Kamrup,181,"1,77,520","9,99,692","93,670","4,53,603","15,17,518","2,57,392","66,640","6,97,763"
Kamrup Metro,451,"1,48,652","15,49,753","72,912","3,37,924","25,45,551","1,70,120","85,065","5,71,641"
Karbi Anglong,67,"71,890","2,08,974","38,693","1,51,753","3,43,143","1,00,056","42,599","2,66,242"
Karimganj,93,"81,170","7,14,032","51,837","2,00,494","10,85,250","1,31,831","37,919","3,19,583"
Kokrajhar,58,"1,14,435","4,87,470","55,512","3,05,815","8,59,136","1,57,267","28,840","4,49,090"
Lakhimpur,93,"1,39,447","5,49,206","93,392","3,42,994","8,62,105","2,29,285","56,191","5,38,632"
Majuli,17,"19,006","1,44,388","3,756","40,930","1,98,243","24,955","10,792","70,728"
Morigaon,68,"75,875","7,30,104","36,784","2,04,901","10,40,398","1,21,212","34,311","3,15,087"
Nagaon,158,"2,38,283","11,22,039","1,55,527","6,19,175","19,42,762","4,17,314","89,615","9,47,073"
Nalbari,89,"97,254","4,98,371","45,035","2,51,630","7,53,695","1,22,827","29,712","3,78,596"
Sivasagar,104,"1,03,197","4,50,275","23,454","2,00,470","6,72,751","1,23,599","35,605","3,39,272"
Sonitpur,134,"1,74,920","8,04,264","99,991","3,83,375","11,81,787","1,98,129","63,880","6,22,175"
South Salmara,16,"21,915","1,47,883","10,837","70,641","2,52,851","43,576","7,797","1,00,353"
Tamulpur,26,"46,652","2,01,319","23,691","1,02,256","3,28,161","57,515","13,338","1,62,246"
Tinsukia,154,"1,44,417","9,45,959","84,043","3,29,723","13,30,818","2,12,677","55,718","5,29,858"
Udalguri,51,"1,41,792","5,69,286","74,843","3,01,198","9,40,040","1,47,397","31,475","4,74,465"
West Karbi Anglong,22,"20,908","76,233","13,924","49,044","1,33,640","35,659","15,538","85,490"
