District,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Bajali,32,462693,160940,89617
Baksa,35,644802,291644,138901
Barpeta,93,2097374,779013,494910
Biswanath,58,841316,331027,172784
Bongaigaon,64,970588,355264,175856
Cachar,170,2163411,861543,394617
Charaideo,36,566533,233227,101011
Chirang,38,644739,250603,148651
Darrang,71,1382867,559276,251531
Dhemaji,48,1209607,397163,231717
Dhubri,90,2199837,948535,526518
Dibrugarh,189,1850870,623312,353211
Dima Hasao,33,239785,86606,47718
Goalpara,73,1310868,521643,239249
Golaghat,125,1543660,621421,260014
Hailakandi,46,896289,403024,201091
Hojai,61,1159113,511350,244074
Jorhat,141,1377510,539615,248061
Kamrup Metro,181,2282336,830898,477800
Karbi Anglong,67,827976,286044,182667
Karimganj,93,1460800,617570,225549
Kokrajhar,58,1214521,469749,316438
Lakhimpur,93,1479545,533510,242963
Majuli,17,285114,151073,75555
Morigaon,68,1337152,608193,294082
Nagaon,158,3000549,1390612,639212
Nalbari,89,1243698,511621,292247
Sivasagar,104,1062653,423693,190902
Sonitpur,134,1660745,700472,481626
South Salmara,16,349469,170745,121949
Tamulpur,26,447364,184285,101768
Tinsukia,154,1528994,548188,312824
Udalguri,51,1193574,447892,270321
West Karbi Anglong,22,289878,85181,50275
