District,Total Branch,Current Year Crop Loan Achievement Amt,Kharif No. of Farmers covered under Pmfby,Kharif Amount insured under Pmfby,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under Pmfby,Rabi Amount insured under Pmfby,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Bajali,32,"1,476.69",27,14.39,0,0.00,28,5.06,0,0.00
Baksa,35,"2,229.15",228,1343.12,0,0.00,149,190.44,0,0.00
Barpeta,92,"10,880.36",1940,11834.51,0,0.00,270,129.89,0,0.00
Biswanath,58,"3,921.32",197,94,0,0.00,231,280.05,0,0.00
Bongaigaon,64,"3,801.07",738,412.01,13,0.13,198,199.28,0,0.00
Cachar,167,"7,139.20",2085,1185.34,22,0.22,597,865.72,0,0.00
Charaideo,36,"2,469.63",171,77.38,0,0.00,9,15.09,0,0.00
Chirang,38,"2,592.71",157,65.38,0,0.00,361,67.48,0,0.00
Darrang,71,"5,031.02",493,1090.24,0,0.00,163,44.49,0,0.00
Dhemaji,47,"5,984.68",643,279.72,4,0.04,262,59.31,0,0.00
Dhubri,89,"5,991.78",895,1260.86,0,0.00,697,622.32,0,0.00
Dibrugarh,187,"16,402.03",491,255.83,0,0.00,66,28.19,0,0.00
Dima Hasao,32,152.43,11,7.43,0,0.00,9,10.10,0,0.00
Goalpara,73,"4,077.20",974,1220.36,0,0.00,391,1244.80,0,0.00
Golaghat,124,"10,318.58",802,414.23,0,0.00,50,34.27,0,0.00
Hailakandi,46,"2,304.05",564,13461.77,0,0.00,177,7106.82,0,0.00
Hojai,60,"5,362.15",604,1590.03,0,0.00,12,15.13,0,0.00
Jorhat,140,"6,978.37",378,174,0,0.00,44,16.07,0,0.00
Kamrup Metro,179,"12,741.46",1159,2839.2,0,0.00,83,1282.08,0,0.00
Karbi Anglong,66,"3,219.98",718,441.47,0,0.00,156,181.87,0,0.00
Karimganj,92,"3,526.45",531,1025.8,0,0.00,92,40.19,0,0.00
Kokrajhar,57,"6,093.42",419,3326.02,0,0.00,353,180.16,0,0.00
Lakhimpur,92,"12,780.36",4813,4772.78,0,0.00,2477,2755.73,0,0.00
Majuli,17,637.66,80,31.76,0,0.00,18,7.96,0,0.00
Morigaon,68,"9,978.93",943,1925.73,0,0.00,101,2521.74,0,0.00
Nagaon,156,"16,217.60",661,315.21,0,0.00,2746,932.65,0,0.00
Nalbari,88,"4,591.24",453,538.45,0,0.00,100,55.34,0,0.00
Sivasagar,103,"5,994.00",860,567.18,0,0.00,121,92.54,0,0.00
Sonitpur,133,"7,026.20",689,364.41,0,0.00,162,65.57,0,0.00
South Salmara,15,415.10,25,15.25,0,0.00,7,6.14,0,0.00
Tamulpur,26,"1,126.79",6501,3713.42,0,0.00,1934,1770.48,0,0.00
Tinsukia,153,"13,263.09",959,3711.37,0,0.00,29,19.43,0,0.00
Udalguri,51,"4,288.44",223,1701.51,0,0.00,302,688.77,0,0.00
West Karbi Anglong,22,"1,668.68",32,20.27,0,0.00,34,24.44,0,0.00
