District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Bajali,32,20288,15557.17,2037,1481.64,753,857.48,18,0.89,2751,5649.43,11879,5034.02,5647,4206.08,539,0.80,1354,894.63,45266,33682.14
Baksa,35,13178,10875.41,884,1305.68,4504,6173.56,10,0.73,4379,10942.98,3722,1780.14,1800,2828.48,284,0.90,1696,1169.69,30457,35077.57
Barpeta,92,52203,43964.41,6057,4122.13,1792,2030.50,91,13.23,14154,17590.37,23730,11339.51,32959,45078.40,503,4.00,5658,5329.45,137147,129472.00
Biswanath,58,24366,19727.35,4313,3957.68,6339,4605.19,12,1.11,8382,17435.90,11149,5461.43,3558,3810.90,114,0.33,5092,3452.71,63325,58452.60
Bongaigaon,64,26319,24099.82,4350,3778.92,2263,4681.16,25,4.78,4994,9396.24,12518,6520.20,10172,13208.44,948,7.70,4414,5182.18,66003,66879.44
Cachar,167,64210,40116.00,24743,16882.64,5249,4838.40,12,0.99,10110,11557.09,62315,32006.73,32492,42771.40,1931,14.12,10458,12561.06,211520,160748.43
Charaideo,36,14270,11381.01,770,957.22,763,699.55,4,0.21,3436,7666.45,5337,2282.71,850,1502.58,123,0.09,1507,1825.53,27060,26315.35
Chirang,38,15654,13808.25,1708,1447.61,9131,10615.49,5,0.62,3826,9146.22,5356,2548.00,3110,3544.47,20,0.30,2304,2190.90,41114,43301.86
Darrang,71,46912,36638.51,2280,1917.76,1361,1282.70,11,1.08,8191,16112.58,17031,8056.30,19148,27481.41,887,2.79,4568,3678.06,100389,95171.19
Dhemaji,47,32608,26518.95,2918,2976.33,11921,15690.85,2,0.06,7583,16167.15,15408,7252.20,213,524.00,151,0.35,7456,6228.29,78260,75358.18
Dhubri,89,35401,23735.36,5036,3612.17,1802,1368.13,15,1.14,8847,12085.25,27455,12875.35,23222,27706.60,662,1.14,6464,6302.14,108904,87687.28
Dibrugarh,187,76254,55992.97,8328,8456.98,9611,12254.23,164,13.66,8554,18951.53,43519,21882.52,3770,11770.93,609,2.72,10649,11590.36,161458,140915.90
Dima Hasao,32,2685,3495.61,498,493.88,2787,7119.10,16,0.81,1413,2968.10,5453,2531.85,1218,2599.50,166,2.48,801,1047.16,15037,20258.49
Goalpara,73,26799,20496.47,2310,2242.89,6723,5683.45,13,1.16,9897,16606.06,18650,8816.67,17276,22826.31,287,1.99,4892,3887.35,86847,80562.35
Golaghat,124,71049,46345.25,7865,6654.49,9275,8212.80,23,2.67,9055,20884.51,41156,18823.96,6251,6758.55,1032,4.35,7574,7004.50,153280,114691.08
Hailakandi,46,19940,11977.73,4109,3388.10,1493,1049.80,4,0.31,3136,5107.75,10560,5092.45,16061,16431.09,119,1.08,2068,2080.29,57490,45128.60
Hojai,60,25073,17620.03,5651,5265.13,3004,2518.91,15,1.19,4128,6829.25,19732,10802.57,11802,15814.59,280,2.88,4868,3519.08,74553,62373.63
Jorhat,140,51292,30547.39,8107,7356.14,10874,9341.82,57,6.89,6664,16843.85,39173,17042.54,3495,8119.33,938,6.95,6211,6066.19,126811,95331.10
Kamrup Metro,179,79577,57580.36,10777,7860.70,8615,7088.65,46,3.30,12526,26097.55,42363,21597.31,23583,28567.67,600,3.15,10127,8759.67,188214,157558.36
Karbi Anglong,66,19343,16038.54,712,1390.80,9268,18078.47,9,0.91,7523,19755.88,14217,6512.62,1703,2630.00,179,0.33,3844,1668.89,56798,66076.44
Karimganj,92,29635,19097.84,11919,7479.52,2291,1543.27,38,3.68,4317,6522.23,24063,11378.51,15305,20269.35,382,2.19,3310,2967.27,91260,69263.86
Kokrajhar,57,23540,22250.28,2468,2256.01,12681,18551.19,8,0.57,4484,7887.60,19244,8933.71,10652,9923.63,123,1.20,4679,6212.16,77879,76016.35
Lakhimpur,92,70958,53895.45,7280,7168.31,15323,19472.94,10,0.47,9769,17481.50,23454,13838.79,10628,13524.77,84,1.17,12660,9063.44,150166,134446.84
Majuli,17,9027,9813.50,563,596.82,2619,2481.04,3,0.38,1117,2410.07,5156,2416.17,21,71.66,91,0.26,1321,1329.05,19918,19118.95
Morigaon,68,45357,33214.98,6925,5420.58,10358,8092.20,93,9.83,6847,11172.66,16355,8162.01,16597,18991.74,1934,5.03,5216,3327.49,109682,88396.52
Nagaon,156,91098,60617.07,14081,10653.16,8751,6620.51,75,5.87,14088,28229.21,48646,24713.79,51783,55843.65,1715,7.09,11345,11426.67,241582,198117.02
Nalbari,88,46808,31436.81,3875,3347.49,2254,2642.69,31,10.25,9937,20060.52,19261,7004.27,10464,13288.66,488,2.57,4391,4292.62,97509,82085.88
Sivasagar,103,50159,27380.77,4576,4486.63,3568,3385.32,58,4.21,4516,8893.10,37476,16031.39,12817,13523.80,1019,9.72,5888,5080.27,120077,78795.21
Sonitpur,133,44167,35417.56,6904,6279.98,7925,7994.35,25,2.38,9760,19542.62,29228,15430.95,10166,16824.69,924,3.59,11869,13223.40,120968,114719.52
South Salmara,15,2441,1314.48,29,64.97,33,33.72,6,0.58,871,1815.06,214,96.98,2317,5556.85,17,0.06,399,603.19,6327,9485.89
Tamulpur,26,6844,6171.98,777,867.10,2617,3808.12,-,-,2483,6006.30,3659,1894.04,447,917.58,13,0.02,1604,918.06,18444,20583.20
Tinsukia,153,53290,44643.24,3671,3910.74,4838,7023.98,93,8.52,8166,18196.62,31693,16762.71,1895,8328.82,1426,6.09,5024,5941.23,110096,104821.95
Udalguri,51,37109,24919.60,1462,1643.10,21105,23756.20,3,2.65,5190,10562.35,21569,12294.63,7229,10047.03,77,1.40,5774,5646.36,99518,88873.32
West Karbi Anglong,22,4261,3994.90,148,244.75,2412,5124.73,0,0,2985,6291.58,3289,1226.47,263,634.51,5,0.12,55,43.83,13418,17560.89
