District,Lead Bank Name,Jun-23,Sep-23,Dec-23,Mar-24
Baksa,SBI,14.08.2023,18.12.2023,07.03.2024,
Barpeta,UCO,24.01.2024,24.01.2024,,
Biswanath,UCO,17.08.2023,27.12.2023,,
Bongaigaon,SBI,03.08.2023,28.12.2023,,
Cachar,PNB,24.08.2023,12.12.2023,26.02.2024,
Charaideo,PNB,04.08.2023,01.03.2024,01.03.2024,
Chirang,SBI,11.08.2023,28.12.2023,20.02.2024,
Darrang,UCO,18.12.2023,18.12.2023,,
Dhemaji,PNB,09.10.2023,19.01.2024,,
Dhubri,UCO,08.08.2023,08.01.2024,01.03.2024,
Dibrugarh,PNB,11.08.2023,27.12.2023,,
Dima Hasao,SBI,14.08.2023,05.10.2023,01.03.2024,
Goalpara,UCO,30.08.2023,29.12.2023,19.03.2024,
Golaghat,PNB,23.08.2023,07.12.2023,22.02.2024,
Hailakandi,PNB,10.10.2023,05.12.2023,04.03.2024,
Hojai,PNB,11.09.2023,28.12.2023,,
Jorhat,PNB,21.08.2023,,,
Kamrup Metro,UCO,19.10.2023,29.12.2023,27.03.2024,
Kamrup Rural,UCO,29.08.2023,07.12.2023,05.04.2024,
Karbi Anglong,SBI,10.08.2023,07.12.2023,30.04.2024,
Karimganj,PNB,30.08.2023,09.01.2024,14.03.2024,
Kokrajhar,UCO,05.10.2023,22.12.2023,18.03.2024,
Lakhimpur,PNB,10.08.2023,21.11.2023,28.03.2024,
Majuli,PNB,24.08.2023,22.11.2023,,
Morigaon,PNB,28.07.2023,21.12.2023,19.03.2024,
Nagaon,PNB,11.09.2023,29.12.2023,19.03.2024,
Nalbari,UCO,21.09.2023,17.11.2023,05.03.2024,
Sivasagar,PNB,09.08.2023,01.03.2024,01.03.2024,
Sonitpur,UCO,17.08.2023,27.12.2023,,
South Salmara,UCO,20.09.2023,20.12.2023,21.03.2024,
Tinsukia,PNB,12.09.2023,29.12.2023,22.03.2024,
Udalguri,SBI,22.08.2023,08.12.2023,20.02.2024,
West Karbi Anglong,SBI,10.08.2023,07.12.2023,30.04.2024,
