District,Total Branch,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bajali,3 2,"8,494","8,228.00","17,366","11,205.68",7,7.91,841,668.52,"26,708","20,110.11"
Baksa,3 5,"12,050","10,589.81","7,256","8,544.53",2,10.47,"1,206","1,032.39","20,514","20,177.20"
Barpeta,9 2,"39,465","34,770.60","33,610","28,524.32",174,212.80,"3,254","6,411.64","76,503","69,919.36"
Biswanath,5 8,"23,071","19,462.38","12,679","15,263.08",16,479.68,"2,488","5,978.14","38,254","41,183.28"
Bongaigaon,6 4,"14,339","16,554.65","17,256","14,733.34",5,1.55,"2,358","4,728.60","33,958","36,018.14"
Cachar,1 67,"50,586","30,978.64","29,626","22,876.43",41,"3,287.24","4,290","9,010.58","84,543","66,152.89"
Charaideo,3 6,"11,130","7,604.05","7,407","9,904.79",13,11.40,"1,890","2,776.71","20,440","20,296.95"
Chirang,3 8,"16,317","14,822.07","5,799","6,338.62",8,5.89,"1,493","1,567.09","23,617","22,733.67"
Darrang,7 1,"29,067","26,568.66","30,949","22,933.33",190,249.80,"2,929","6,053.41","63,135","55,805.20"
Dhemaji,4 7,"25,040","20,478.68","13,446","15,623.57",7,4.15,"2,947","2,107.49","41,440","38,213.89"
Dhubri,8 9,"30,648","21,365.85","17,257","14,287.68",28,34.71,"2,738","2,601.64","50,671","38,289.88"
Dibrugarh,1 87,"58,806","47,226.22","31,679","24,891.41",218,"2,465.50","10,360","36,870.52","1,01,063","1,11,453.65"
Dima Hasao,3 2,"1,557",789.55,"1,576","2,565.53",0,0,249,526.70,"3,382","3,881.78"
Goalpara,7 3,"27,446","22,845.47","12,254","12,582.89",14,16.07,"4,001","3,300.80","43,715","38,745.23"
Golaghat,1 24,"52,250","34,731.32","31,428","27,917.59",111,393.00,"7,022","16,555.11","90,811","79,597.02"
Hailakandi,4 6,"17,025","9,295.82","5,860","7,011.45",6,919.31,"1,587","1,632.91","24,478","18,859.49"
Hojai,6 0,"21,376","15,301.58","9,413","8,932.90",67,920.01,"2,713","3,937.50","33,569","29,091.99"
Jorhat,1 40,"42,185","24,436.44","28,143","24,055.33",268,"1,652.38","6,593","31,950.13","77,189","82,094.28"
Kamrup Metro,1 79,"62,503","52,634.60","44,599","33,039.32",18,115.90,"10,421","9,801.25","1,17,541","95,591.07"
Karbi Anglong,6 6,"31,214","18,037.33","13,538","23,080.30",-,-,"1,082","1,109.98","45,834","42,227.61"
Karimganj,9 2,"22,808","13,421.21","13,254","11,755.10",17,38.30,"2,366","3,373.25","38,445","28,587.86"
Kokrajhar,5 7,"25,311","24,388.28","12,313","11,332.47",7,5.17,"2,216","3,035.16","39,847","38,761.08"
Lakhimpur,9 2,"55,917","41,043.21","30,945","23,661.50",31,109.07,"5,329","5,482.61","92,222","70,296.39"
Majuli,1 7,"6,711","4,462.89","3,501","3,388.91",2,1.11,357,361.82,"10,571","8,214.73"
Morigaon,6 8,"38,155","29,675.71","19,040","17,620.54",42,111.95,"3,615","2,917.11","60,852","50,325.31"
Nagaon,1 56,"69,042","49,070.59","61,615","42,561.15",129,407.74,"8,165","9,233.69","1,38,951","1,01,273.17"
Nalbari,8 8,"27,514","21,752.07","36,375","23,665.70",16,37.50,"2,693","4,583.85","66,598","50,039.12"
Sivasagar,1 03,"25,067","15,419.01","35,712","21,369.27",97,467.41,"6,858","11,176.07","67,734","48,431.76"
Sonitpur,1 33,"27,435","26,166.35","38,313","30,969.51",97,170.04,"7,010","12,614.89","72,855","69,920.79"
South Salmara,1 5,"2,481","1,316.43",912,"1,524.20",0,0,20,34.71,"3,413","2,875.34"
Tamulpur,2 6,"6,085","5,215.94","3,905","5,560.33",0,0,"1,233",534.41,"11,223","11,310.68"
Tinsukia,1 53,"40,322","38,464.38","24,155","23,043.48",141,"1,532.34","4,860","29,197.70","69,478","92,237.90"
Udalguri,5 1,"30,513","23,865.03","16,122","12,526.34",266,102.05,"1,866","1,248.44","48,767","37,741.86"
West Karbi Anglong,2 2,"10,429","5,273.96","4,157","7,275.13",1,0,30,61.38,"14,617","12,610.47"
