District,Total Branch,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt
Bajali,32,"3,058","1,897.47","5,873","1,590.15",4,4.5,557,183.46,"9,492","3,675.58"
Baksa,35,"3,196","1,819.94","1,973","1,020.44",0,0,473,118.49,"5,642","2,958.87"
Barpeta,92,"18,779","10,943.41","7,276","2,885.66",51,34.52,847,323.63,"26,953","14,187.22"
Biswanath,58,"7,281","4,485.91","3,362","1,062.72",18,21.3,942,243.18,"11,603","5,813.11"
Bongaigaon,64,"3,542","1,550.98","1,930","1,080.21",1,2.1,311,118.14,"5,784","2,751.43"
Cachar,167,"24,739","12,492.46","6,356","3,342.67",7,60.08,"1,261","1,096.18","32,363","16,991.39"
Charaideo,36,"1,946","1,145.85",910,458.02,3,5.31,335,93.56,"3,194","1,702.74"
Chirang,38,"7,300","4,187.31","1,149",667.77,35,99.22,199,130.15,"8,683","5,084.45"
Darrang,71,"12,498","7,548.32","8,068","3,598.12",103,132.2,965,345.13,"21,634","11,623.77"
Dhemaji,47,"10,167","6,697.68","2,195",945.20,6,0.23,839,192.39,"13,207","7,835.50"
Dhubri,89,"17,893","8,818.81","6,234","2,286.26",76,91.04,950,334.25,"25,153","11,530.36"
Dibrugarh,187,"27,089","15,254.48","5,971","3,270.99",100,65.1,"1,447",953.93,"34,607","19,544.50"
Dima Hasao,32,455,91.23,206,116.21,0,0,25,12.18,686,219.62
Goalpara,73,"9,352","4,151.96","3,952","2,588.23",38,60.73,"1,589",623.57,"14,931","7,424.49"
Golaghat,124,"24,372","11,295.93","5,543","2,510.62",1,0.46,"1,589",508.32,"31,505","14,315.33"
Hailakandi,46,"7,803","3,347.86","1,572",949.26,2,1.18,200,118.74,"9,577","4,417.04"
Hojai,60,"8,490","4,285.03","1,717",876.20,8,19.36,840,415.55,"11,055","5,596.14"
Jorhat,140,"20,182","8,522.96","7,133","2,237.98",5,3.43,971,946.84,"28,291","11,711.21"
Kamrup Metro,179,"28,837","16,641.72","10,352","3,946.42",25,20.41,"3,590","1,232.14","42,804","21,840.69"
Karbi Anglong,66,"7,550","3,363.50",948,701.72,46,78.88,67,111.39,"8,611","4,255.49"
Karimganj,92,"12,769","6,720.81","3,984","2,265.27",2,2.38,488,507.51,"17,243","9,495.97"
Kokrajhar,57,"10,284","5,536.66","1,395",769.31,11,14.24,125,126.39,"11,815","6,446.60"
Lakhimpur,92,"24,244","14,026.26","8,993","2,837.72",27,30.04,"1,849",451.55,"35,113","17,345.57"
Majuli,17,"1,816",842.65,881,690.05,3,0.13,43,34.29,"2,743","1,567.12"
Morigaon,68,"14,992","7,759.00","6,821","3,145.96",8,4.72,"1,390",495.22,"23,211","11,404.90"
Nagaon,156,"39,771","18,523.68","22,645","7,112.32",20,32.17,"3,002","1,496.62","65,438","27,164.79"
Nalbari,88,"13,636","6,179.86","10,596","3,357.71",69,84.67,821,447.39,"25,122","10,069.63"
Sivasagar,103,"9,371","3,940.47","5,184","2,129.70",49,102.07,"1,632",391.10,"16,236","6,563.34"
Sonitpur,133,"10,715","6,556.21","10,555","3,969.71",60,45.39,"2,097","1,206.17","23,427","11,777.48"
South Salmara,15,"1,515",455.80,226,226.45,5,6.77,1,0.97,"1,747",689.99
Tamulpur,26,"3,025","1,517.85",970,457.29,10,16.94,413,89.42,"4,418","2,081.50"
Tinsukia,153,"16,575","9,838.31","3,449","2,111.06",2,0.69,980,"1,099.55","21,006","13,049.61"
Udalguri,51,"18,058","11,296.39","8,004","3,481.37",29,61.66,500,141.38,"26,591","14,980.80"
West Karbi Anglong,22,"1,672",776.15,560,154.23,1,0,8,12.37,"2,241",942.75
