district,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bajali,32,3,71.00,2,7.88,0,0.00,5,78.88,9,123.07,1,1.40,1.14
Baksa,35,0,0.00,0,0.00,0,0.00,0,0.00,6,73.58,2,12.29,16.70
Barpeta,92,18,273.28,6,93.57,1,7.20,25,374.05,56,849.90,7,107.31,12.63
Biswanath,58,5,15.42,2,27.00,0,0.00,7,42.42,19,213.95,3,10.37,4.85
Bongaigaon,64,4,105.12,7,90.00,4,67.00,15,262.12,59,528.52,9,49.33,9.33
Cachar,167,23,333.65,6,127.50,0,0.00,29,461.15,80,"1,114.10",3,29.31,2.63
Charaideo,36,2,30.00,0,0.00,0,0.00,2,30.00,11,220.92,0,0.00,0.00
Chirang,38,1,40.00,1,15.00,2,10.50,4,65.50,23,300.18,1,5.94,1.98
Darrang,71,2,30.46,0,0.00,0,0.00,2,30.46,33,465.13,10,99.68,21.43
Dhemaji,47,2,44.25,0,0.00,1,0.00,3,44.25,12,158.64,0,0.06,0.04
Dhubri,89,11,175.76,4,71.86,0,0.00,15,247.62,30,586.20,0,0.05,0.01
Dibrugarh,187,33,492.45,5,78.29,7,124.44,45,695.18,177,"2,402.06",22,289.06,12.03
Dima Hasao,32,1,25.00,2,20.00,1,10.00,4,55.00,16,63.14,1,15.55,24.63
Goalpara,73,7,93.95,4,66.03,0,0.00,11,159.98,36,309.28,11,67.42,21.80
Golaghat,124,9,197.09,0,0.00,1,12.00,10,209.09,57,805.39,2,9.89,1.23
Hailakandi,46,4,63.09,1,20.00,0,0.00,5,83.09,12,222.81,2,112.27,50.39
Hojai,60,5,138.11,1,30.00,0,0.00,6,168.11,64,700.15,24,87.63,12.52
Jorhat,140,37,1200.54,1,20.00,1,49.40,39,1269.94,121,"2,023.59",8,38.55,1.91
Kamrup,179,41,381.89,5,89.85,3,50.50,49,522.24,117,"1,164.42",8,106.80,9.17
Kamrup Metro,450,222,3720.83,16,272.68,10,151.48,248,4144.99,557,"9,604.56",58,562.90,5.86
Karbi Anglong,66,12,102.18,7,82.00,10,160.50,29,344.68,40,607.11,4,20.41,3.36
Karimganj,92,5,72.20,0,0.00,0,0.00,5,72.20,28,628.24,5,69.26,11.02
Kokrajhar,57,80,207.53,1,20.00,4,25.48,85,253.01,23,416.96,1,7.08,1.70
Lakhimpur,92,9,138.15,4,119.00,8,153.98,21,411.13,43,603.70,7,53.16,8.81
Majuli,17,2,19.53,0,0.00,3,26.06,5,45.59,13,117.94,0,0.00,0.00
Morigaon,68,45,98.47,3,24.67,3,48.15,51,171.29,48,658.94,12,84.92,12.89
Nagaon,156,19,269.50,4,61.68,1,28.00,24,359.18,92,"1,093.41",16,117.02,10.70
Nalbari,88,56,375.16,2,13.85,1,12.00,59,401.01,58,684.16,6,48.15,7.04
Sivasagar,103,59,296.26,1,11.00,0,0.00,60,307.26,54,737.46,5,53.18,7.21
Sonitpur,133,32,405.20,1,10.46,2,14.60,35,430.26,127,"1,813.85",13,105.70,5.83
South Salmara,15,1,0.00,0,0.00,0,0.00,1,0.00,2,81.31,0,0.00,0.00
Tamulpur,26,0,0.00,0,0.00,1,12.00,1,12.00,3,96.87,0,0.00,0.00
Tinsukia,153,31,556.88,5,76.29,3,109.98,39,743.15,119,"2,144.59",5,26.41,1.23
Udalguri,51,61,89.99,1,19.36,2,44.99,64,154.34,15,296.51,1,11.09,3.74
West Karbi Anglong,22,0,0.00,1,28.73,1,20.00,2,48.73,6,68.80,1,11.50,16.72
