District,S L,Village Name,Bank allocated,Reason for not opening of Branch,"No. and Date of Latest Letter sent to DC for Issues related to Premises, Communication, Network etc",Sub District
Barpeta,23,Mowkhowa Char N.C.,UCO,,ZOG/SP/20/2024-25 dt 04/06/2024,Baghbor
Bongaigaon,9,Tiapara,PNB,Unavailabilit y of proper infrastructur e and connectivity issues.,Letter Dated 22/05/2024,Bongaigaon (Pt)
Cachar,7,Derby T.E.,HDFC,,Letter dated 01.12.2023,Katigora
Chirang,2,Duttapur F/Block,BOB,,RO:JORHAT:PS:2024-25:001 DT 07/06/2024,Srijangram
Darrang,19,Algachar N.C.,UCO,Unavailabilit y of proper infrastructur e and connectivity issues.,ZOJ/SPD/2024-25/37 dt 01/06/2024,Mangaldoi (Pt)
Dibrugarh,6,Namchang Chah Bagicha,HDFC,,Letter dated 01.12.2023,Naharkatiya
Goalpara,20,Khalingduar RF,UCO,,ZOJ/SPD/2024-25/36 dt 01/06/2024,Harisinga
Golaghat,16,Murphulani Bagan Gaon,SBI,,AGM/RI/PREM/2022-23/29 dated 01.06.2023,Morangi
Hailakandi,14,Baruncherra F.V.,PNB(RR B),,CO SILCHAR/DCHAILAKANDI/PREMISES/02/ 2024 dt 18/05/2024,Katlichara
Hojai,15,Sarkey Bosti,SBI,Unavailabilit y of proper infrastructur e and connectivity issues.,RMSL/RBO-III/P&e/2024-25/79 DT 05/06/2024,Lanka
Kamrup Metro,22,Barduar Tea Garden No.2,UCO,,ZOG/SP/21/2024-25 dt 04/06/2024,PALASHBA RI CIRCLE
Kokrajhar,12,Takampur F V,PNB,,Letter Dated 22/05/2024,Gossaigaon (Pt)
Sonitpur,3,Kochmara Protected Forest Area,BOM,No other means of transportaio n is available,AX8/DFS/UNBAKED BLOCK/KOCHMARA DT 03/06/2024,Thelamara
South Salmara,5,Birsing Pt.I,HDFC,RCC Structure. Not Available.,Letter dated 01.12.2023,South Salmara
Tamulpur,21,Nonke Dongargaon No.1,UCO,,ZOG/SP/19/2024-25 dt 04/06/2024,Tamulpur
Tinsukia,13,Magar Gaon (Ambikapur),PNB,,Letter Dated 13/05/2024,Sadiya
