District,Total Branch,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bajali,32,486,873.69,"2,394","2,881.65",284,"1,446.57","1,609","3,717.33"
Baksa,35,358,"1,159.50","1,345","3,073.45","2,100","6,034.33","8,219","17,853.47"
Barpeta,92,"2,071","2,785.99","6,654","6,730.11",665,"2,666.06","3,146","7,308.76"
Biswanath,58,"1,608","2,214.33","5,469","6,447.42","1,914","2,799.70","9,825","9,527.36"
Bongaigaon,64,"1,680","3,320.69","6,034","9,406.78",856,"5,503.72","5,681","17,136.58"
Cachar,167,"9,442","11,395.83","26,798","25,549.36","1,111","3,246.62","4,743","10,215.32"
Charaideo,36,230,385.30,728,"1,015.03",209,569.12,932,"1,950.09"
Chirang,38,996,"1,510.41","2,898","3,598.80","3,698","10,585.60","17,566","31,646.11"
Darrang,71,585,"1,114.64","2,466","3,279.33",384,"1,162.66","1,909","3,748.59"
Dhemaji,47,784,"1,762.35","3,480","5,545.44","5,991","15,802.61","27,200","50,019.87"
Dhubri,89,"1,399","2,325.00","5,510","5,994.07",417,"1,650.97","4,035","5,087.43"
Dibrugarh,187,"3,150","5,523.58","10,380","16,014.80","4,501","11,106.68","14,624","31,527.98"
Dima Hasao,32,133,548.99,684,"1,616.48","1,456","7,359.12","8,305","21,300.84"
Goalpara,73,773,"1,665.62","3,263","4,369.66","2,842","5,507.84","11,943","16,453.67"
Golaghat,124,"3,027","4,250.18","8,976","10,435.04","3,608","6,602.62","14,135","18,716.11"
Hailakandi,46,"1,238","1,930.94","4,457","4,996.90",197,533.51,"1,013","1,566.61"
Hojai,60,"2,139","3,240.06","6,847","7,990.95",789,"2,767.89","3,270","6,821.81"
Jorhat,140,"2,658","4,621.04","10,664","13,633.27","2,569","6,059.39","15,455","21,426.59"
Kamrup Metro,179,"3,660","5,316.68","13,454","13,644.23","3,559","7,651.90","14,851","22,655.75"
Karbi Anglong,66,286,"1,104.74","1,599","3,781.73","4,561","16,978.23","24,760","55,802.06"
Karimganj,92,"4,253","4,699.23","12,993","10,629.07",332,665.24,"1,373","1,764.66"
Kokrajhar,57,"1,069","2,388.23","3,186","5,552.87","5,592","25,871.03","30,337","73,149.95"
Lakhimpur,92,"2,199","4,379.16","8,933","11,828.86","6,289","14,167.54","28,238","47,046.37"
Majuli,17,316,777.26,"1,628","2,658.40",846,"2,544.20","5,043","10,400.00"
Morigaon,68,"1,857","2,724.68","7,133","7,447.03","3,735","5,689.24","13,129","14,253.47"
Nagaon,156,"3,914","5,398.30","14,572","14,250.61","2,583","5,723.37","10,168","15,031.90"
Nalbari,88,978,"1,771.53","4,694","5,252.07",598,"1,667.62","3,235","6,018.61"
Sivasagar,103,"1,510","2,940.02","6,407","9,233.92","1,292","3,470.35","5,387","10,233.88"
Sonitpur,133,"2,451","4,243.52","8,398","12,338.17","2,667","7,409.90","10,847","18,857.31"
South Salmara,15,16,77.28,115,284.03,23,106.10,130,350.74
Tamulpur,26,276,789.46,"1,262","1,996.90","1,026","3,315.15","5,368","10,781.14"
Tinsukia,153,"1,317","2,172.69","4,790","7,846.29","2,447","8,806.51","9,928","21,835.46"
Udalguri,51,502,"1,296.16","2,687","3,698.21","5,228","12,510.62","32,493","45,322.55"
West Karbi Anglong,22,132,330.63,418,828.69,"1,407","4,094.20","6,067","12,677.18"
