district,Total Branch,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Bajali,32,20,10,53.19,12.91,40,23,86.41,28.89,122,45,327.82,103.42
Baksa,35,24,7,103.94,21.69,32,13,73.37,22.82,72,29,239.51,128.54
Barpeta,92,79,37,280.64,107.46,126,66,253.79,127.36,414,167,"1,559.09",581.73
Biswanath,58,41,24,115.49,65.99,68,36,114.54,65.73,189,91,648.24,295.22
Bongaigaon,64,39,20,227.24,147.47,64,32,148.05,98.72,176,66,766.20,310.25
Cachar,167,279,73,653.28,249.74,507,110,604.39,194.44,"1,399",290,"3,696.57",897.91
Charaideo,36,18,10,121.08,61.36,25,13,69.94,55.95,90,36,267.74,131.22
Chirang,38,18,5,73.70,8.19,25,7,64.65,11.23,72,18,287.02,37.54
Darrang,71,88,36,379.57,196.88,128,59,248.47,140.25,433,179,"1,378.03",674.95
Dhemaji,47,49,27,101.03,63.14,85,45,127.50,75.72,197,88,559.49,283.79
Dhubri,89,38,15,93.14,30.16,67,23,105.30,39.99,217,54,743.56,196.79
Dibrugarh,187,170,85,769.99,390.76,271,144,579.05,289.16,"1,044",463,"3,702.64","1,719.74"
Dima Hasao,32,8,6,14.22,12.17,16,8,33.14,23.79,43,20,146.78,75.44
Goalpara,73,42,18,289.84,97.61,56,25,145.69,67.45,180,72,685.04,257.16
Golaghat,124,79,32,320.10,109.02,145,67,304.51,134.93,435,188,"1,590.30",670.34
Hailakandi,46,24,8,50.28,23.12,30,8,37.22,9.96,99,26,242.25,83.07
Hojai,60,28,14,116.07,52.23,57,28,137.45,52.87,174,59,648.41,203.04
Jorhat,140,187,96,817.24,454.21,338,171,728.64,435.17,"1,029",485,"4,052.52","2,000.28"
Kamrup,179,393,157,"1,510.66",728.68,681,254,"1,359.40",504.36,"1,557",531,"5,326.39","1,928.85"
Kamrup Metro,450,802,364,"7,961.56","4,050.10","1,129",498,"4,916.77","2,391.36","4,565","1,798","23,522.65","10,007.72"
Karbi Anglong,66,15,4,101.07,60.16,32,14,77.65,44.43,130,51,332.86,160.44
Karimganj,92,48,19,275.90,132.01,62,24,183.86,102.37,155,47,550.60,173.95
Kokrajhar,57,41,20,170.63,72.46,59,29,153.65,68.67,164,61,541.59,166.54
Lakhimpur,92,93,48,438.22,208.27,174,88,300.96,141.66,410,172,"1,248.63",506.79
Majuli,17,7,1,25.46,7.35,10,2,11.39,1.87,37,6,87.41,6.24
Morigaon,68,38,19,177.09,132.89,71,33,146.10,88.13,169,65,555.58,204.93
Nagaon,156,73,34,422.46,158.74,122,55,381.06,143.75,405,151,"1,535.68",633.45
Nalbari,88,71,36,238.50,80.18,132,70,212.36,94.73,431,158,"1,440.30",589.26
Sivasagar,103,69,40,395.86,266.39,127,63,288.03,183.58,369,172,"1,310.48",602.53
Sonitpur,133,131,67,689.25,262.60,232,121,632.76,257.20,647,262,"2,744.75","1,132.87"
South Salmara,15,9,2,12.32,2.66,10,2,14.07,2.65,21,4,57.78,9.72
Tamulpur,26,18,11,41.23,30.37,46,30,67.79,47.42,70,42,183.49,112.90
Tinsukia,153,138,54,759.57,338.32,220,95,647.79,271.79,734,277,"2,773.45","1,030.65"
Udalguri,51,86,59,236.01,153.91,161,111,257.87,168.59,363,241,"1,056.23",692.84
West Karbi Anglong,22,0,0,0,0,3,0,4.90,0,15,4,65.60,18.25
