District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bajali,32,807,"1,614.38","6,450","2,641.44"
Baksa,35,279,468.73,920,702.17
Barpeta,92,"4,103","2,267.66","6,269","2,472.21"
Biswanath,58,885,452.98,"3,083","1,162.11"
Bongaigaon,64,"8,031","4,220.80","8,795","3,508.77"
Cachar,167,"17,153","7,241.43","14,109","5,374.58"
Charaideo,36,"4,303","2,485.61","4,319","2,110.28"
Chirang,38,"2,921","1,484.23","3,029","1,352.81"
Darrang,71,"6,872","3,560.36","8,287","2,868.18"
Dhemaji,47,"2,856","1,235.03","4,510","1,323.14"
Dhubri,89,946,"1,375.45","2,913","2,183.94"
Dibrugarh,187,"2,516","2,778.67","7,504","3,335.91"
Dima Hasao,32,450,706.60,738,770.13
Goalpara,73,"5,964","3,448.55","8,299","3,671.52"
Golaghat,124,"3,404","3,465.29","13,121","5,340.02"
Hailakandi,46,297,458.60,983,794.32
Hojai,60,"1,686","1,186.15","2,508","1,286.67"
Jorhat,140,889,"1,626.73","21,268","5,350.07"
Kamrup Metro,179,"15,931","6,571.05","29,052","6,257.55"
Karbi Anglong,66,"3,311","4,666.70","5,762","5,994.37"
Karimganj,92,"5,397","3,131.30","5,311","3,187.93"
Kokrajhar,57,"8,839","4,482.34","7,234","3,389.95"
Lakhimpur,92,"1,881","1,312.58","7,792","2,857.67"
Majuli,17,"2,411",909.16,"2,109",521.55
Morigaon,68,139,217.04,"2,116","1,006.26"
Nagaon,156,"6,387","3,942.95","19,966","5,616.72"
Nalbari,88,"7,837","3,991.10","14,377","4,019.92"
Sivasagar,103,"2,335","4,671.35","6,083","5,786.42"
Sonitpur,133,"8,113","3,889.28","14,340","4,038.90"
South Salmara,15,0,0,83,82.47
Tamulpur,26,331,492.21,"1,107",709.87
Tinsukia,153,"7,078","3,745.44","8,473","3,324.12"
Udalguri,51,"6,884","3,260.89","6,180","2,514.51"
West Karbi Anglong,22,579,"1,115.60","1,355","1,498.33"
