District,Total Branch,Inactive CSP,Ru Pay card active in PMJDY,First time active Ru Pay card,Aadhaar Authenticated Sb accounts,Ru Pay card issued in KCC
Bajali,32,14,30795,20171,120645,4616
Baksa,35,20,73628,47195,111615,5723
Barpeta,92,33,294414,168543,634220,17508
Biswanath,58,5,72820,62771,122929,8702
Bongaigaon,64,18,100596,60417,166605,8405
Cachar,167,329,265922,119390,322109,13862
Charaideo,36,6,57792,15931,59333,4781
Chirang,38,3,103556,57888,150511,8082
Darrang,71,35,152848,68451,279263,16145
Dhemaji,47,24,122884,107310,151290,8841
Dhubri,89,37,241543,138193,468314,10315
Dibrugarh,187,128,197857,140505,322882,28278
Dima Hasao,32,3,25506,5716,23044,340
Goalpara,73,19,153874,68628,300443,12998
Golaghat,124,38,155557,111054,207834,22610
Hailakandi,46,13,118443,53078,218728,7754
Hojai,60,26,153565,72129,240154,6020
Jorhat,140,115,105609,70189,241275,20047
Kamrup Metro,179,33,309954,133829,438850,34919
Karbi Anglong,66,7,50140,29079,67690,4990
Karimganj,92,18,182922,86691,201551,5310
Kokrajhar,57,20,113547,80069,303438,9831
Lakhimpur,92,16,150319,128237,198275,15529
Majuli,17,4,27058,9134,43966,2105
Morigaon,68,57,192493,40914,227894,13543
Nagaon,156,684,239228,152212,596936,29572
Nalbari,88,14,102090,53602,233673,14150
Sivasagar,103,136,104224,55615,175743,10013
Sonitpur,133,300,154387,92649,392332,16212
South Salmara,15,5,28061,26472,105145,377
Tamulpur,26,4,70202,35047,92457,2271
Tinsukia,153,127,158593,82180,377193,19979
Udalguri,51,13,146701,91990,257832,13191
West Karbi Anglong,22,3,17479,12998,41942,711
