District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Bajali,32,7,34.88,3033,3748.92,-,0,-,0,0,0,1,0.2,3041,3784.00
Baksa,35,30,80.13,1260,1890.27,-,0,1,1.18,0,0,1,-,1292,1971.58
Barpeta,92,67,243.61,31543,48690.87,15,10.19,2,8.90,0,0,9,160.01,31636,49113.58
Biswanath,58,171,221.22,2827,3898.66,8,9.04,7,15.94,1,0.1,3,4.90,3017,4149.86
Bongaigaon,64,251,678.97,10085,18572.07,73,88.95,12,19.93,26,11.62,15,105.08,10462,19476.62
Cachar,167,801,2308.51,21537,42191.67,30,80.54,11,58.57,1,0.6,10,43.87,22390,44683.76
Charaideo,36,73,71.56,704,1313.89,37,73.23,13,70.03,0,0,1,0.6,828,1529.31
Chirang,38,437,619.59,3523,4735.30,11,8.22,4,16,0,0,-,-,3975,5379.11
Darrang,71,138,228.05,19299,24247.41,14,8.98,2,3.5,1,0.8,11,155.36,19465,24644.10
Dhemaji,47,52,142.81,326,634.21,16,108.12,7,39.8,0,0,2,8.00,403,932.94
Dhubri,89,148,280.94,24307,35844.26,4,11.6,6,40.6,0,0,11,148.17,24476,36325.57
Dibrugarh,187,479,989.19,4678,10834.35,84,321.53,89,352.08,5,5.18,40,263.02,5375,12765.35
Dima Hasao,32,966,3517.27,144,549.08,1,3,1,3.00,0,0,0,0,1112,4072.35
Goalpara,73,1403,1187.84,14669,22815.71,7,19.56,5,6.75,3,1.11,7,118.71,16094,24149.68
Golaghat,124,651,695.98,4982,6912.05,359,263.35,30,94.14,3,0.79,20,258.91,6045,8225.22
Hailakandi,46,59,177.26,6442,13568.21,1,0.5,-,-,0,0,2,4.10,6504,13750.07
Hojai,60,87,337.45,5807,11672.90,12,35.04,16,85.34,0,0,6,14.30,5928,12145.03
Jorhat,140,440,908.91,3126,8093.29,195,412.1,46,841.98,2,6.57,26,1050.10,3835,11312.95
Kamrup Metro,179,309,578.10,22914,33635.59,111,119.64,15,88.65,0,0,38,1022.21,23387,35444.19
Karbi Anglong,66,1162,2076.60,634,1146.98,23,49.81,9,163.40,0,0,5,175.30,1833,3612.09
Karimganj,92,211,350.21,8159,18542.16,2,15.1,2,8.50,1,7,8,157.35,8383,19080.32
Kokrajhar,57,1875,3543.04,7890,11780.39,5,4.63,4,5.59,0,0,4,49.34,9778,15382.99
Lakhimpur,92,398,733.57,8454,11530.35,12,61.31,13,19.95,14,8.57,5,11.53,8896,12365.28
Majuli,17,1,1.83,15,51.15,1,0.5,-,-,0,0,-,-,17,53.48
Morigaon,68,29,125.20,9454,12199.28,10,5.84,3,18.50,1,0.15,2,6.65,9499,12355.62
Nagaon,156,415,543.87,40786,58709.59,19,15,52,241.32,7,3.75,13,96.24,41292,59609.77
Nalbari,88,16,54.66,9065,15671.36,13,9.74,11,6.51,0,0,20,675.10,9125,16417.37
Sivasagar,103,182,261.71,9429,16261.13,227,365.22,22,49.65,1,3.29,23,27.20,9884,16968.20
Sonitpur,133,617,1514.79,13045,17641.74,82,1610.7,33,237.76,0,0,11,37.94,13788,21042.93
South Salmara,15,4,27.74,1177,2928.10,-,0,4,39.36,0,0,-,-,1185,2995.20
Tamulpur,26,16,78.70,485,993.50,1,0.4,4,7,0,0,2,5.87,508,1085.47
Tinsukia,153,483,2049.55,2610,4353.49,198,2395.2,69,302.86,0,0,33,314.27,3393,9415.37
Udalguri,51,906,2374.43,3223,4822.13,2,0.29,2,13.18,1,0.25,2,3.00,4136,7213.28
West Karbi Anglong,22,165,503.64,12,49.31,1,1.5,5,21.11,0,0,0,0,183,575.56
