district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Bajali,32,"2,707","6,185.50",8,27.98,22,14.57,187,417.43,9,4.88,258,787.79,89,147.26,"2,889","6,604.66",91,45.68,9,123.07,1,1.4
Baksa,35,"4,696","11,822.02",13,28.23,148,79.89,62,225.29,15,10.55,718,"1,195.01",506,708.32,"3,941","9,395.18",269,118.05,6,73.58,2,12.29
Barpeta,92,"9,306","18,837.13",119,132.37,325,144.94,973,"1,764.71",213,52.04,"1,428","3,290.38",845,"1,610.28","10,585","20,153.72",790,432.14,56,849.90,7,107.31
Biswanath,58,"8,118","18,544.14",131,221.89,99,112.18,79,189.18,5,2.09,291,675.11,122,214.61,"8,131","16,699.52",906,290.71,19,213.95,3,10.37
Bongaigaon,64,"5,402","11,267.14",168,196.49,47,26.57,130,253.30,30,18.15,596,"1,120.75",308,469.55,"5,247","11,493.73",164,58.93,59,528.52,9,49.33
Cachar,167,"7,876","14,772.79",174,253.29,180,78.38,398,637.62,68,31.13,"1,089","2,897.32",497,"1,021.06","8,080","13,912.06",552,184.84,80,"1,114.10",3,29.31
Charaideo,36,"3,996","8,666.61",55,49.37,39,14.34,25,26.34,8,5.9,174,398.85,110,249.69,"4,260","8,997.47",91,38.80,11,220.92,0,0
Chirang,38,"4,053","9,698.21",141,244.53,106,50.60,62,70.41,6,3,"1,241","1,528.22","1,011","1,105.10","2,931","6,777.73",245,89.76,23,300.18,1,5.94
Darrang,71,"7,142","15,968.38",81,116.11,116,105.76,355,653.21,28,20.82,616,"1,234.10",374,619.84,"8,315","16,677.48",600,497.02,33,465.13,10,99.68
Dhemaji,47,"7,287","18,068.58",167,228.82,116,47.25,222,421.34,47,61.28,935,"2,437.27",497,"1,132.39","7,874","18,184.63",475,179.45,12,158.64,-,0.06
Dhubri,89,"8,189","13,517.69",449,723.76,321,114.46,424,395.61,217,127.09,"1,478","2,341.01",959,"1,412.28","8,269","13,033.80",718,277.63,30,586.20,0,0.05
Dibrugarh,187,"8,775","21,644.00",217,394.16,202,95.15,613,"1,453.87",65,41.83,"1,280","3,709.24",642,"1,480.77","8,730","20,071.75",340,157.08,177,"2,402.06",22,289.06
Dima Hasao,32,"1,100","2,581.98",20,24.80,5,2.39,59,100.65,14,13.07,283,586.23,104,220.70,"1,260","2,802.06",76,28.46,16,63.14,1,15.55
Goalpara,73,"7,369","17,147.73",124,269.22,167,113.36,172,188.10,108,90.82,737,"1,025.81",463,591.95,"6,877","14,100.35",731,335.17,36,309.28,11,67.42
Golaghat,124,"10,215","25,891.04",254,508.45,105,68.58,212,505.68,23,14.63,676,"1,551.16",405,958.30,"10,330","25,565.76",209,112.81,57,805.39,2,9.89
Hailakandi,46,"3,573","6,585.51",280,302.00,100,43.47,369,527.21,72,43.33,657,"1,740.53",271,566.68,"3,442","5,720.73",350,107.60,12,222.81,2,112.27
Hojai,60,"4,961","8,889.56",55,81.61,91,53.83,343,512.82,74,34.84,350,908.81,88,163.71,"5,487","9,726.85",183,112.32,64,700.15,24,87.63
Jorhat,140,"7,665","19,838.91",179,297.23,33,21.07,940,"2,257.42",23,11.04,528,"1,255.68",284,634.58,"7,683","19,482.47",91,37.30,121,"2,023.59",8,38.55
Kamrup Metro,179,"14,288","32,841.68",294,708.10,374,252.07,469,980.46,30,28.20,"1,370","2,857.65",685,"1,177.17","11,345","24,525.05","1,014",644.29,117,"1,164.42",8,106.80
Karbi Anglong,66,"6,586","18,366.14",41,23.56,66,32.86,53,107.21,1,1.34,438,625.36,252,291.15,"7,495","19,942.05",232,56.02,40,607.11,4,20.41
Karimganj,92,"4,046","7,189.66",52,86.62,131,85.39,257,368.47,93,46.84,598,"1,417.37",252,508.19,"5,034","8,004.72",636,209.06,28,628.24,5,69.26
Kokrajhar,57,"5,766","10,961.29",301,270.68,50,26.38,60,65.07,10,8.92,"1,678","2,172.03","1,329","1,630.97","4,182","7,457.95",235,83.88,23,416.96,1,7.08
Lakhimpur,92,"10,173","21,153.62",176,319.36,141,45.36,211,320.46,32,25.15,"1,069","3,077.74",699,"1,654.69","10,473","20,686.79",563,141.39,43,603.70,7,53.16
Majuli,17,"1,982","3,867.31",65,86.62,30,18.82,26,32.72,8,4.44,188,368.51,72,162.66,"2,164","3,971.92",93,35.98,13,117.94,-,-
Morigaon,68,"6,158","12,664.17",112,279.08,399,207.53,639,710.16,365,221.66,754,"1,363.75",471,670.98,"7,944","14,137.36","1,598",706.38,48,658.94,12,84.92
Nagaon,156,"15,212","33,780.50",195,189.86,211,108.03,510,"1,158.02",30,21.72,"1,150","3,062.41",629,"1,281.98","15,677","32,883.37",521,306.61,92,"1,093.41",16,117.02
Nalbari,88,"8,148","20,592.15",93,234.68,141,105.45,246,665.72,17,13.48,916,"2,033.24",494,990.25,"9,381","21,447.13",590,299.99,58,684.16,6,48.15
Sivasagar,103,"5,701","11,873.13",84,106.78,72,28.76,276,425.13,53,44.74,758,"2,557.12",289,725.66,"5,882","12,045.25",171,102.90,54,737.46,5,53.18
Sonitpur,133,"9,631","23,039.85",94,112.71,257,118.34,397,751.54,9,8.54,"1,099","2,688.48",545,"1,067.43","9,602","19,559.49","1,016",378.11,127,"1,813.85",13,105.70
South Salmara,15,936,"1,648.44",17,16.58,141,34.82,4,3.24,-,-,413,514.73,317,349.37,974,"1,842.92",149,38.28,2,81.31,-,-
Tamulpur,26,"2,522","6,422.60",30,37.08,17,11.76,8,9.4,0,0,213,392.79,150,240.24,"2,276","5,511.69",77,30.15,3,96.87,0,0
Tinsukia,153,"8,036","20,455.81",144,222.52,135,64.40,"1,471","3,138.46",67,42.93,"1,254","3,682.88",687,"1,623.81","7,942","18,649.43",377,169.89,119,"2,144.59",5,26.41
Udalguri,51,"6,300","13,659.49",154,136.41,65,74.02,61,116.73,4,3.39,"1,445","2,304.43","1,219","1,893.33","4,329","8,300.74",520,278.35,15,296.51,1,11.09
West Karbi Anglong,22,"2,387","5,872.91",21,18.66,52,16.97,62,185.45,0,0,15,49.06,3,14.07,"2,984","6,305.17",370,71.35,6,68.80,1,11.5
