district,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Educatio n (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Bajali,32,2,4.2,0,0,0,0,1,33.35,187,"2,473.21",680,"2,381.23","4,692","22,525.65","5,562","27,417.64"
Baksa,35,2,2.01,0,0,0,0,4,27.69,95,"1,172.05",613,"2,088.40","2,661","12,937.32","3,375","16,227.47"
Barpeta,92,8,22.85,0,0,0,0,11,148.19,411,"4,899.71","2,612","8,538.92","16,981","66,604.23","20,023","80,213.90"
Biswanath,58,19,17.22,0,0,0,0,5,20.87,186,"1,489.08",934,"2,799.57","6,137","21,340.43","7,281","25,667.17"
Bongaigaon,64,11,42.34,0,0,0,0,9,75.92,491,"5,728.08","2,272","8,555.26","14,256","58,987.72","17,039","73,389.32"
Cachar,167,12,31,4,97.89,0,0,11,101.34,675,"8,389.23","4,521","14,475.19","41,055","1,23,535.02","46,278","1,46,629.67"
Charaideo,36,1,3,0,0,0,0,2,40.65,75,905.67,549,"1,437.02","3,287","14,226.01","3,914","16,612.35"
Chirang,38,8,4.32,0,0,0,0,1,20.07,147,"1,513.24",715,"1,782.45","4,115","18,894.84","4,986","22,214.92"
Darrang,71,18,63.68,0,0,0,0,33,365.56,313,"2,670.02","2,037","6,093.61","11,409","40,129.93","13,810","49,322.80"
Dhemaji,47,9,5.32,0,0,0,0,3,32.16,250,"2,242.86","1,905","6,933.22","9,871","38,961.09","12,038","48,174.65"
Dhubri,89,19,22.49,0,0,0,0,3,8.32,305,"2,807.21","2,059","5,577.55","16,884","53,766.20","19,270","62,181.77"
Dibrugarh,187,54,"1,490.35",7,386.15,0,0,18,288.13,942,"15,251.50","7,310","40,099.63","38,982","2,33,451.30","47,313","2,90,967.06"
Dima Hasao,32,0,0,0,0,0,0,2,46.01,37,414.92,"1,131","5,925.49","2,857","14,722.49","4,027","21,108.91"
Goalpara,73,16,9.44,0,0,0,0,1,14.29,187,"1,512.19","1,294","4,309.10","10,110","44,289.32","11,608","50,134.34"
Golaghat,124,44,84.75,0,0,0,0,9,116.31,457,"5,132.84","2,899","10,125.08","18,873","1,06,824.75","22,282","1,22,283.73"
Hailakandi,46,13,19.67,0,0,0,0,0,0,95,"1,259.95",813,"2,624.99","5,538","19,909.66","6,459","23,814.27"
Hojai,60,27,7.93,0,0,0,0,3,26.17,145,"1,892.78","1,586","5,188.43","8,819","32,546.64","10,580","39,661.95"
Jorhat,140,27,369.23,5,21.45,0,0,23,237.46,"1,301","13,648.24","4,368","17,442.51","28,250","96,146.48","33,974","1,27,865.37"
Kamrup,179,30,106.85,0,0,0,0,11,202.33,"1,991","26,261.14","5,963","24,048.84","41,373","2,28,203.78","49,368","2,78,822.94"
Kamrup Metro,450,35,"17,731.91",27,4212.24,0,0,227,3859.55,"6,495","1,11,821.04","22,415","92,802.82","2,04,597","13,47,820.09","2,33,796","15,78,247.65"
Karbi Anglong,66,4,38.76,0,0.00,0,0,4,76.28,66,726.70,"2,287","10,996.84","7,973","34,906.78","10,334","46,745.36"
Karimganj,92,8,2.86,0,0,0,0,7,125.81,145,"1,864.82","1,986","7,020.11","12,315","44,309.77","14,461","53,323.37"
Kokrajhar,57,15,12.27,0,0,0,0,5,84.82,302,"3,618.86","1,860","6,270.15","13,117","55,797.91","15,299","65,784.01"
Lakhimpur,92,25,212.75,4,326.35,0,0,6,45.19,581,"6,628.26","3,336","13,252.74","17,354","70,520.78","21,306","90,986.07"
Majuli,17,2,4.95,0,0,0,0,0,0,49,647.57,508,"3,075.02","1,302","7,326.68","1,861","11,054.22"
Morigaon,68,19,19.39,0,0,0,0,3,68.83,200,"3,071.79","1,800","7,755.87","8,276","29,087.88","10,298","40,003.76"
Nagaon,156,7,23.88,0,0,0,0,38,621.53,766,"9,650.05","3,970","14,828.43","28,442","1,20,802.84","33,223","1,45,926.73"
Nalbari,88,8,13.6,6,231.15,0,0,6,18.71,532,"6,088.34","2,370","10,244.80","12,537","46,816.57","15,459","63,413.17"
Sivasagar,103,12,50.33,0,0,0,0,11,146.92,526,"5,412.55","3,579","13,770.76","23,804","79,366.91","27,932","98,747.47"
Sonitpur,133,8,7.41,0,0,0,0,16,239.64,"1,096","12,777.90","4,270","15,554.61","23,401","99,318.50","28,791","1,27,898.06"
South Salmara,15,0,0,0,0,0,0,0,0,17,97.39,270,503.92,"1,078","4,386.27","1,365","4,987.58"
Tamulpur,26,0,0,0,0,0,0,0,0,34,246.19,336,917.39,"1,884","7,740.12","2,254","8,903.70"
Tinsukia,153,42,581.37,8,546,0,0,14,201.82,546,"7,507.84","4,185","18,249.12","21,119","98,510.09","25,914","1,25,596.24"
Udalguri,51,1,9.55,0,0,0,0,5,49.21,242,"1,213.41","1,027","2,153.11","5,657","27,338.03","6,932","30,763.31"
West Karbi Anglong,22,0,0,0,0,0,0,0,0,4,32.10,409,"1,729.18","1,268","5,542.60","1,681","7,303.88"
