District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,Msme (PS) Target No.,Msme (PS) Target Amt,Msme (PS) Achieved No.,Msme (PS) Achieved Amt,Msme (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Baksa,61,99306,42936.60,7562,11221.46,26.13,35153,26998.00,4003,3831.37,14.19,5525,6595.00,1639,11350.53,172.11,12189,14999.00,997,1528.93,10.19,117020,64530.60,10198,24100.92,37.35
Barpeta,92,84350,119503.37,30733,43975.75,36.80,66594,77545.01,11508,16570.23,21.37,9343,36847.19,6249,59086.76,160.36,5136,25708.93,17210,13049.64,50.76,98829,182059.49,54192,116112.15,63.78
Biswanath,90,14457,29293.00,13095,21236.62,72.50,9850,17945.00,5641,6245.49,34.80,5175,12987.00,2867,18617.12,143.35,3179,8278.97,6247,5223.75,63.10,22811,50558.97,22209,45077.49,89.16
Bongaigaon,64,45626,69384.56,16270,24584.72,35.43,30800,46475.58,5238,11719.35,25.22,8302,35758.90,4207,47751.56,133.54,4085,16529.16,7935,6022.28,36.43,58013,121672.62,28412,78358.56,64.40
Cachar,167,51906,44795.04,26517,35302.15,78.81,27556,26529.00,7448,10102.30,38.08,14770,91519.94,11580,118085.59,129.03,4535,16451.51,48367,31180.91,189.53,71211,152766.49,86464,184568.65,120.82
Charaideo,36,28965,44327.76,10549,14247.79,32.14,19084,20271.75,5422,4706.04,23.21,1769,8952.00,2020,9874.89,110.31,1486,5643.92,3506,2318.28,41.08,32220,58923.68,16075,26440.96,44.87
Chirang,38,34976,39204.62,8686,11655.23,29.73,22902,27892.04,4105,5439.61,19.50,1371,5036.00,1870,11836.81,235.04,1840,3802.52,5616,4138.96,108.85,38187,48043.14,16172,27631.00,57.51
Darrang,71,51710,43926.95,27264,31589.44,71.91,32416,21732.58,8479,10398.29,47.85,11010,28790.17,5413,39060.43,135.67,2749,8482.52,7083,6575.47,77.52,65469,81199.64,39760,77225.34,95.11
Dhemaji,47,37924,46975.18,15127,20586.71,43.82,29375,33357.10,7643,7541.08,22.61,2864,21024.00,4110,20395.68,97.01,1680,6551.10,5415,5362.65,81.86,42468,74550.28,24652,46345.04,62.17
Dhubri,89,72811,74341.11,15496,24977.49,33.60,20620,15816.53,7035,12316.75,77.87,5306,22151.39,5404,46313.10,209.08,5450,12590.97,17503,13945.16,110.76,83567,109083.47,38403,85235.75,78.14
Dibrugarh,187,38806,69030.83,46854,68233.21,98.84,23302,33557.76,19917,20346.15,60.63,9896,53767.00,12078,150690.48,280.27,3070,20369.55,18799,15787.36,77.50,51772,143167.38,77731,234711.05,163.94
Dima Hasao,32,25055,37334.69,939,2117.40,5.67,4087,5950.66,207,244.55,4.11,2063,6256.80,1753,4741.47,75.78,1100,2481.37,36,184.48,7.43,28218,46072.86,2728,7043.35,15.29
Goalpara,73,67655,68386.06,17540,24064.89,35.19,49951,47506.87,7948,11282.27,23.75,5000,15219.99,4171,28893.70,189.84,5355,12892.80,11377,7766.06,60.24,78010,96498.85,33088,60724.65,62.93
Golaghat,124,33212,43337.84,35216,47570.29,109.77,18383,21128.00,13444,12695.65,60.09,8436,34641.10,6154,48449.14,139.86,3943,13032.80,19657,12239.81,93.92,45591,91011.74,61027,108259.24,118.95
Hailakandi,46,14854,16029.76,6001,9598.87,59.88,10800,10359.37,2503,2888.31,27.88,4503,16351.20,3036,15994.96,97.82,2494,6452.60,7443,4674.70,72.45,21851,38833.56,16480,30268.53,77.94
Hojai,60,20342,23461.32,12362,16511.69,70.38,16150,18168.00,5910,7548.98,41.55,1955,7584.00,4855,35092.33,462.72,2832,6713.26,7168,5039.44,75.07,25129,37758.58,24385,56643.46,150.01
Jorhat,140,62758,109083.23,30133,59988.27,54.99,38643,71085.78,9772,9063.79,12.75,2346,33169.80,6916,127956.11,385.76,5095,13275.48,13930,12406.89,93.46,70199,155528.51,50979,200351.27,128.82
Kamrup Metro,179,37967,73328.25,51056,56527.07,77.09,21720,45355.11,16384,19813.40,43.69,22091,74189.07,7927,92483.10,124.66,5110,13111.72,27438,24412.75,186.19,65168,160629.04,86421,173422.92,107.96
Karbi Anglong,66,73723,79540.65,12185,17314.78,21.77,53983,53769.23,5560,3501.94,6.51,1616,9386.40,3795,14316.34,152.52,5663,19168.37,2507,2038.55,10.63,81002,108095.42,18487,33669.67,31.15
Karimganj,92,16033,14399.15,11277,14056.52,97.62,10047,9704.92,3021,4704.51,48.48,6865,31629.43,4872,43159.35,136.45,2985,6895.14,19094,11550.06,167.51,25883,52923.72,35243,68765.93,129.93
Kokrajhar,57,19118,20738.00,16012,24784.45,119.51,9904,8854.00,7198,13571.60,153.28,4507,19787.00,3225,22308.46,112.74,4253,11594.00,13051,9231.84,79.63,27878,52119.00,32288,56324.75,108.07
Lakhimpur,92,57555,65326.19,30950,36746.72,56.25,42485,46194.76,17102,15407.10,33.35,4959,31292.00,6108,50088.47,160.07,4274,12060.21,9934,8260.45,68.49,66788,108678.40,46992,95095.64,87.50
Majuli,17,18712,31186.92,3843,4862.93,15.59,16178,25447.76,2041,2837.36,11.15,341,1997.44,410,2591.36,129.73,947,3356.46,167,849.15,25.30,20000,36540.82,4420,8303.44,22.72
Morigaon,68,67800,53453.61,20884,24594.60,46.01,50419,26365.53,11405,12133.72,46.02,6158,33570.09,2348,24946.48,74.31,18030,21598.53,6492,5288.09,24.48,91988,108622.23,29724,54829.17,50.48
Nagaon,156,108585,109913.50,48044,61091.21,55.58,69757,68708.95,17960,19901.30,28.96,16501,52816.89,8411,88190.64,166.97,21630,15755.01,20706,15997.14,101.54,146716,178485.40,77161,165278.99,92.60
Nalbari,88,15204,29626.00,22781,33498.67,113.07,10525,13895.00,6923,11106.52,79.93,9846,31487.00,4403,39473.50,125.36,2470,14057.00,9257,8014.70,57.02,27520,75170.00,36441,80986.87,107.74
Sivasagar,103,38603,47521.71,32189,32198.49,67.76,25375,26979.99,8465,9757.05,36.16,6162,38808.00,6341,75491.25,194.52,2612,9240.06,12056,9515.74,102.98,47377,95569.77,50586,117205.48,122.64
