District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other MSME No.,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt
Bajali,32,846,695.18,4,12.28,0,0,20,31.84,397,66.38,"1,267",805.68
Baksa,35,"1,453","1,222.76",81,93.48,0,-,319,383.69,274,63.87,"2,127","1,763.80"
Barpeta,92,"4,612","5,275.89",389,"1,312.86",2,7.39,131,198.39,1196,237.09,"6,330","7,031.62"
Biswanath,58,"2,046","1,383.10",256,353.76,0,-,41,40.26,965,181.42,"3,308","1,958.54"
Bongaigaon,64,"1,563","1,792.49",98,"1,467.12",0,-,151,153.85,519,103.41,"2,331","3,516.87"
Cachar,167,"5,648","8,581.06",445,"3,161.86",3,1.38,126,151.00,492,134.71,"6,714","12,030.01"
Charaideo,36,"1,129","1,088.69",41,161.97,0,0,50,89.61,83,14.76,"1,303","1,355.03"
Chirang,38,"1,839","1,747.87",198,184.68,0,-,602,611.07,300,54.08,"2,939","2,597.70"
Darrang,71,"3,034","4,102.64",221,989.40,1,0.02,160,218.91,1105,224.61,"4,521","5,535.58"
Dhemaji,47,"2,122","1,854.09",260,601.00,1,13.43,72,100.61,1617,328.47,"4,072","2,897.60"
Dhubri,89,"4,321","2,835.48",274,420.20,1,0.51,222,274.70,533,133.68,"5,351","3,664.57"
Dibrugarh,187,"6,559","11,275.30",806,"2,907.85",6,34.24,186,311.51,767,168.27,"8,324","14,697.17"
Dima Hasao,32,407,295.96,9,8.44,0,-,15,31.16,4,2.45,435,338.01
Goalpara,73,"3,195","3,183.24",52,83.85,1,33.63,198,261.39,1210,231.23,"4,656","3,793.34"
Golaghat,124,"3,725","3,210.06",681,"1,113.89",1,0.4,86,127.57,670,143.63,"5,163","4,595.55"
Hailakandi,46,"1,721","1,683.81",139,269.55,1,0.33,147,229.88,161,53.14,"2,169","2,236.71"
Hojai,60,"2,435","3,097.50",317,"1,022.26",2,2.18,8,9.05,918,160.24,"3,680","4,291.23"
Jorhat,140,"4,215","7,760.92",312,"3,102.08",14,673.08,83,109.37,552,156.44,"5,176","11,801.89"
Kamrup Metro,179,"5,629","5,728.38",815,963.28,0,-,350,627.69,2187,471.26,"8,981","7,790.61"
Karbi Anglong,66,"1,079",994.21,77,40.13,0,-,99,34.32,32,4.67,"1,287","1,073.33"
Karimganj,92,"2,472","3,760.05",226,934.76,0,0,91,151.73,340,121.59,"3,129","4,968.13"
Kokrajhar,57,"2,761","2,817.69",247,292.44,0,-,634,706.85,12,9.56,"3,654","3,826.54"
Lakhimpur,92,"4,727","4,023.44",955,"1,079.27",19,9.11,74,104.47,3340,806.04,"9,115","6,022.33"
Majuli,17,446,437.50,46,56.25,0,-,12,13.22,133,21.30,637,528.27
Morigaon,68,"3,487","4,412.59",459,961.88,2,45.32,143,218.36,495,115.43,"4,586","5,753.58"
Nagaon,156,"8,261","9,565.16",629,"1,298.02",4,6.16,245,338.97,1065,210.23,"10,204","11,418.54"
Nalbari,88,"4,012","3,908.49",212,349.14,2,0.28,283,422.01,629,113.26,"5,138","4,793.18"
Sivasagar,103,"3,093","3,547.91",294,"1,230.47",0,-,87,178.03,634,176.40,"4,108","5,132.81"
Sonitpur,133,"5,665","7,212.89",312,638.71,0,0,217,370.84,852,169.45,"7,046","8,391.89"
South Salmara,15,790,905.11,1,85.81,0,0,134,221.93,0,0.00,925,"1,212.85"
Tamulpur,26,833,663.34,2,3.29,0,0,95,107.95,372,69.40,"1,302",843.98
Tinsukia,153,"5,190","7,577.40",388,"1,198.82",4,338.51,208,278.81,739,154.87,"6,529","9,548.41"
Udalguri,51,"4,134","5,006.88",12,128.56,0,0,431,696.66,707,116.49,"5,284","5,948.59"
West Karbi Anglong,22,122,74.77,1,0.09,0,0,0,0,2,0.26,125,75.12
